"userid","age","gender","relation_status","hometown","living","perference","total_action","sign_up","last_login","total_visits","total_posts","total_time_spend","total_new_friends","totalfriends"
62,18,1,2,4,5,5,161,"2013-04-08","2013-10-06",8,3,11.0955966778622,4,58
63,17,1,1,5,5,5,237,"2012-12-10","2013-10-07",10,9,9.54441155883314,7,104
64,26,1,1,1,1,5,180,"2013-04-08","2013-10-06",6,6,20.2898745498906,1,61
65,18,1,1,3,3,2,298,"2013-05-09","2013-10-07",16,15,6.31503946069567,7,51
66,17,0,1,4,4,4,264,"2013-03-10","2013-10-07",12,20,13.8471543364458,3,71
67,29,1,3,4,4,4,97,"2013-04-09","2013-10-07",7,8,6.8710089117661,4,60
68,32,0,1,1,1,2,38,"2013-03-09","2013-10-06",3,6,3.34821423051449,3,71
69,14,1,4,1,1,2,123,"2013-02-08","2013-10-07",8,8,7.6945672478118,4,75
70,14,1,1,6,6,5,455,"2013-04-09","2013-10-07",15,9,24.1043811931071,4,55
71,23,0,1,2,3,2,154,"2013-04-09","2013-10-07",9,6,12.6034929600032,1,65
72,18,0,2,5,5,6,87,"2013-05-09","2013-10-07",6,7,2.27277920680411,5,46
73,23,0,2,6,6,4,165,"2013-02-08","2013-10-07",8,9,11.1777230247087,4,82
74,29,0,4,6,1,4,18,"2013-04-07","2013-10-05",4,3,2.58854960634439,0,56
75,18,0,2,5,5,4,183,"2013-04-09","2013-10-07",13,13,3.28038956349933,4,65
76,46,1,4,6,6,4,218,"2013-05-09","2013-10-07",13,16,8.6789795016693,4,54
77,16,0,1,4,4,5,311,"2013-04-09","2013-10-07",13,10,12.8497560239091,5,55
78,28,0,4,4,5,4,207,"2013-04-09","2013-10-07",11,5,11.9617260889157,4,63
79,19,0,1,2,2,1,350,"2009-11-26","2013-10-07",26,10,7.99997229764853,2,471
80,41,0,4,1,1,3,145,"2013-04-09","2013-10-07",9,7,9.42670000512493,3,57
81,24,1,1,4,4,4,234,"2012-04-13","2013-10-06",12,11,6.2405877341257,6,182
82,25,0,2,4,5,5,239,"2013-02-08","2013-10-07",14,22,8.68561612690962,2,83
83,22,0,1,4,4,5,346,"2013-02-08","2013-10-07",14,3,12.3331133425449,7,77
84,27,1,3,6,1,5,97,"2013-04-09","2013-10-07",7,6,7.17477272973754,3,60
85,30,1,1,6,6,2,125,"2013-04-09","2013-10-07",8,0,7.53312055201418,3,58
86,18,0,2,3,4,1,29,"2012-08-12","2013-10-07",4,8,2.48035646116611,0,135
87,19,1,2,4,4,6,29,"2013-01-08","2013-10-06",6,2,0.534636675985793,0,91
88,18,1,4,2,2,4,150,"2013-02-08","2013-10-07",7,13,9.00513568737432,3,79
89,37,0,1,2,2,3,335,"2013-06-08","2013-10-07",11,9,19.5406496722296,4,41
90,18,1,2,4,4,6,412,"2012-10-10","2013-10-06",20,30,12.8012266440594,4,115
91,27,1,1,2,2,2,146,"2013-04-09","2013-10-07",10,22,3.22614783766677,5,62
92,31,0,4,5,6,6,185,"2013-03-10","2013-10-07",9,5,10.6843401256837,6,69
93,25,0,2,2,2,2,102,"2013-03-09","2013-10-06",9,10,5.6804085845721,1,67
94,16,1,4,5,5,1,57,"2013-03-10","2013-10-07",4,1,2.95006835184022,4,70
95,14,1,4,5,6,1,153,"2013-04-09","2013-10-07",8,13,7.97733053103839,4,60
96,22,0,2,3,3,3,547,"2013-02-08","2013-10-07",21,12,16.0485456673017,5,83
97,37,1,1,4,4,5,265,"2013-04-09","2013-10-07",15,10,8.21232874576727,6,64
98,35,0,1,4,5,6,39,"2013-02-08","2013-10-07",3,2,1.07039912269943,3,77
99,19,1,4,3,3,5,50,"2012-12-10","2013-10-07",4,4,5.35293179013116,1,99
100,25,1,1,5,5,3,81,"2013-04-07","2013-10-05",4,6,6.88618568439106,1,65
101,18,1,2,4,4,5,111,"2013-02-07","2013-10-06",8,11,9.60164577249801,1,82
102,17,0,1,5,5,5,71,"2013-01-09","2013-10-07",6,5,4.11419486765624,2,89
103,10,1,1,1,2,2,117,"2012-09-11","2013-10-07",7,6,11.0551917642634,3,131
104,22,1,1,4,4,5,917,"2012-12-10","2013-10-07",27,31,23.7878183066252,7,102
105,47,0,4,3,4,6,141,"2013-04-08","2013-10-06",9,10,2.19081466537636,5,60
106,36,0,4,1,1,3,136,"2013-04-08","2013-10-06",7,8,15.9671397578275,1,61
107,42,0,4,6,6,4,135,"2013-02-07","2013-10-06",6,9,9.93061234474468,6,76
108,43,1,4,4,4,5,2197,"2013-10-04","2013-10-07",30,26,15.3025051939964,53,73
109,19,1,4,1,1,1,166,"2012-12-10","2013-10-07",9,9,6.76241598355029,4,99
110,27,1,2,3,3,2,155,"2013-05-09","2013-10-07",7,6,14.3096671351202,1,52
111,19,0,1,1,1,2,125,"2010-02-23","2013-10-06",5,5,16.3054593833576,2,442
112,15,1,2,6,6,5,94,"2013-02-08","2013-10-07",7,11,3.70685321427847,1,84
113,18,0,2,4,4,4,337,"2012-09-11","2013-10-07",10,13,22.777217415121,3,134
114,21,1,2,5,6,6,320,"2012-09-10","2013-10-06",15,15,10.7099977229982,6,129
115,26,1,2,2,2,2,0,"2012-12-20","2013-07-19",0,0,0,0,71
116,27,1,2,6,1,5,32,"2013-04-08","2013-10-06",5,5,1.70654454737209,2,58
117,14,1,1,5,5,4,149,"2013-04-08","2013-10-06",7,12,12.3839758255814,2,64
118,25,1,1,1,2,3,139,"2013-02-08","2013-10-07",6,4,11.790068027908,4,77
119,20,1,2,4,4,5,249,"2011-06-18","2013-10-06",17,13,10.1244229518275,2,284
120,21,0,1,4,4,5,83,"2011-10-17","2013-10-07",9,12,1.63617465306508,3,245
121,14,0,2,4,4,6,212,"2013-04-08","2013-10-06",12,7,11.3972314358056,3,58
122,18,0,2,6,1,5,184,"2012-12-10","2013-10-07",16,19,4.31847414116171,2,101
123,23,0,4,2,2,3,39,"2013-04-09","2013-10-07",3,1,1.61439816419567,3,57
124,50,1,2,5,5,6,52,"2013-04-08","2013-10-06",6,6,2.05335680852654,3,62
125,24,1,1,5,5,6,69,"2012-12-09","2013-10-06",4,5,4.22494229705804,2,95
126,22,0,2,5,5,6,226,"2012-09-11","2013-10-07",13,13,5.52321281520453,3,131
127,28,1,1,5,5,4,153,"2013-03-10","2013-10-07",13,12,3.66445192094057,7,68
128,15,0,1,2,2,2,54,"2013-04-08","2013-10-06",8,9,0.516152568110739,3,64
129,25,1,2,1,1,1,60,"2013-03-10","2013-10-07",7,11,4.3247999255568,2,69
130,19,1,1,3,3,6,271,"2012-05-14","2013-10-07",15,12,6.42825688495522,4,168
131,14,0,4,6,6,6,159,"2013-04-09","2013-10-07",9,5,5.01340008463298,5,62
132,21,0,1,1,1,4,301,"2013-04-09","2013-10-07",17,12,11.8007342826422,5,63
133,30,1,1,6,6,1,136,"2013-03-10","2013-10-07",6,8,4.30602241262495,6,70
134,22,1,2,5,5,4,117,"2010-08-22","2013-10-06",7,8,6.94060175412654,5,383
135,24,0,2,4,5,6,69,"2013-03-10","2013-10-07",5,5,3.14324596837552,4,74
136,23,1,2,1,1,3,13,"2013-02-06","2013-10-05",1,2,0.0994534843432395,1,77
137,25,0,3,6,1,6,235,"2013-03-09","2013-10-06",12,8,11.266581264879,7,68
138,15,1,2,1,1,3,111,"2013-04-09","2013-10-07",6,4,7.81394142978124,3,57
139,18,1,1,1,1,1,202,"2011-11-16","2013-10-07",8,4,11.7463468049939,7,233
140,24,0,1,1,2,5,129,"2013-03-10","2013-10-07",6,7,9.6412244191118,6,69
141,33,0,1,3,4,3,103,"2013-04-08","2013-10-06",6,11,5.81578638033301,4,62
142,20,0,4,5,5,5,346,"2013-01-09","2013-10-07",21,21,10.3353936269839,3,88
143,23,0,2,1,1,3,94,"2013-04-09","2013-10-07",6,2,3.88016337168445,2,63
144,22,0,1,2,3,2,339,"2013-03-10","2013-10-07",20,19,10.7039777857616,3,72
145,9,1,1,5,6,5,68,"2013-02-07","2013-10-06",3,3,12.3359838321582,1,76
146,13,1,1,2,2,2,209,"2013-04-09","2013-10-07",10,11,8.63146625153373,2,56
147,9,1,2,2,2,3,111,"2013-04-09","2013-10-07",7,6,6.85458194044036,7,63
148,23,1,1,2,3,1,242,"2012-09-11","2013-10-07",9,8,14.6351645534182,5,132
149,21,1,2,2,2,4,219,"2013-03-10","2013-10-07",15,15,9.18011145820303,2,69
150,20,1,2,1,2,1,168,"2013-02-07","2013-10-06",12,13,6.64263647733361,3,82
151,22,1,1,2,2,4,227,"2013-01-09","2013-10-07",9,2,11.5428385574347,3,94
152,24,1,1,3,3,1,197,"2013-03-10","2013-10-07",12,7,8.30953084447471,7,72
153,20,0,2,5,5,6,336,"2010-12-21","2013-10-07",19,16,11.6461091114464,1,340
154,19,1,2,1,1,1,165,"2013-04-09","2013-10-07",13,11,4.87838925903705,5,55
155,26,0,2,1,1,2,93,"2013-04-08","2013-10-06",4,6,7.79426725958611,3,62
156,23,0,2,3,3,2,218,"2013-02-08","2013-10-07",12,8,3.64594707197665,6,84
157,16,0,1,5,5,3,223,"2013-02-08","2013-10-07",7,4,14.2424508144245,7,79
158,22,1,1,1,1,2,160,"2011-05-20","2013-10-07",11,10,7.77464560999637,5,290
159,21,1,1,6,6,3,160,"2013-03-09","2013-10-06",12,18,7.05744137168921,4,69
160,9,0,2,6,6,3,159,"2013-02-08","2013-10-07",8,19,4.84498017257989,5,75
161,25,1,2,6,6,4,184,"2013-02-08","2013-10-07",9,5,8.36270532466166,2,75
162,23,1,1,2,2,2,382,"2013-03-09","2013-10-06",11,12,26.8591209147274,2,73
163,36,1,4,3,4,2,62,"2013-03-08","2013-10-05",4,6,8.48186389025616,2,67
164,20,0,2,6,6,6,165,"2012-10-11","2013-10-07",10,8,6.10018825343343,6,122
165,26,0,1,1,1,2,309,"2013-04-09","2013-10-07",18,23,10.0427387952927,3,62
166,22,0,2,6,6,6,1930,"2013-10-03","2013-10-07",19,23,11.9112205319107,84,78
167,23,0,2,1,2,2,11,"2013-03-10","2013-10-07",1,0,0.145822360648992,1,70
168,24,0,1,2,2,2,120,"2013-03-10","2013-10-07",5,7,14.3107042773498,1,71
169,21,1,4,2,2,2,131,"2012-09-11","2013-10-07",9,16,4.09464298625841,2,133
170,21,1,2,1,1,5,111,"2009-12-26","2013-10-07",11,9,4.80378018441159,1,465
171,21,1,1,3,3,3,455,"2012-11-10","2013-10-07",22,18,9.9124026973447,5,108
172,20,1,1,4,4,4,369,"2012-02-12","2013-10-05",20,26,11.6338610309496,1,198
173,16,1,1,5,5,6,173,"2013-03-10","2013-10-07",13,17,3.06567240513122,5,68
174,21,1,2,1,1,3,276,"2012-03-15","2013-10-07",13,19,15.1615506797407,4,190
175,22,0,2,6,6,2,153,"2013-03-09","2013-10-06",14,14,6.8970904323618,1,74
176,19,0,4,1,1,3,85,"2012-12-10","2013-10-07",7,5,1.38909731266702,2,103
177,26,1,2,3,4,3,277,"2013-03-10","2013-10-07",15,11,12.9465991486318,5,67
178,9,0,1,2,2,5,346,"2013-04-09","2013-10-07",15,10,11.7751295157869,5,55
179,29,1,2,5,6,6,182,"2013-03-10","2013-10-07",9,19,12.3386493711777,3,74
180,27,0,3,6,1,4,59,"2013-03-10","2013-10-07",4,3,7.35912205069191,2,74
181,15,0,1,5,5,4,318,"2013-03-09","2013-10-06",15,12,14.3144392652041,4,74
182,18,0,1,4,5,6,119,"2012-10-10","2013-10-06",7,15,3.19621035786245,2,121
183,14,1,1,4,4,6,34,"2013-04-09","2013-10-07",3,2,2.20774942568594,1,56
184,22,1,2,2,2,1,1020,"2012-12-10","2013-10-07",27,39,25.299800105736,8,101
185,19,0,1,6,1,2,182,"2012-10-11","2013-10-07",13,17,7.89376884759432,5,123
186,16,1,2,5,5,4,26,"2013-02-06","2013-10-05",3,2,1.54730073888285,2,81
187,17,0,2,4,5,3,175,"2013-04-08","2013-10-06",9,3,10.5759276027347,5,58
188,21,0,1,6,6,5,316,"2012-06-13","2013-10-07",17,19,9.13703019094053,5,164
189,28,1,1,4,5,6,388,"2013-04-09","2013-10-07",12,11,20.3519246664985,3,58
190,13,1,1,6,6,2,181,"2013-04-09","2013-10-07",11,11,2.27232450321537,6,58
191,19,1,1,6,6,5,301,"2010-11-21","2013-10-07",17,20,10.8779892353163,4,354
192,16,0,2,3,4,2,102,"2013-03-10","2013-10-07",9,7,3.66108685777359,2,72
193,25,0,1,3,3,2,244,"2013-02-08","2013-10-07",14,17,12.9677349776551,3,76
194,15,1,2,5,6,4,44,"2013-04-09","2013-10-07",4,10,1.1477648658133,2,62
195,14,1,2,2,3,5,394,"2013-04-09","2013-10-07",17,18,15.786742014146,4,61
196,18,0,2,2,2,2,172,"2013-02-08","2013-10-07",10,10,7.7311232302869,3,79
197,20,1,2,2,2,3,314,"2012-06-13","2013-10-07",16,16,12.3874690307657,1,159
198,19,1,4,3,4,2,143,"2013-03-10","2013-10-07",13,5,5.92949597893563,1,67
199,27,0,4,1,2,2,129,"2013-04-09","2013-10-07",12,12,2.45164569433095,2,55
200,13,1,1,5,5,6,102,"2013-03-10","2013-10-07",8,6,5.40428046634295,4,70
201,18,0,4,5,6,2,204,"2013-02-07","2013-10-06",8,3,15.2493279297524,5,85
202,14,1,1,2,2,1,288,"2013-04-09","2013-10-07",16,16,12.9665173855638,3,61
203,21,0,4,4,5,4,203,"2013-03-10","2013-10-07",14,13,9.98251068982205,2,71
204,26,1,3,4,4,4,110,"2013-04-09","2013-10-07",7,1,5.40309581562704,5,59
205,28,1,4,5,6,4,123,"2013-04-08","2013-10-06",9,8,7.00032329793079,3,64
206,14,1,1,2,2,2,131,"2013-03-10","2013-10-07",8,10,4.7338165095134,5,66
207,21,0,4,5,6,6,306,"2011-05-20","2013-10-07",13,3,11.2526743181243,9,294
208,16,0,1,1,2,2,222,"2013-03-10","2013-10-07",9,14,9.97407840828397,3,70
209,18,1,1,3,4,1,100,"2013-02-07","2013-10-06",5,4,6.86736792726792,3,75
210,26,0,3,3,3,5,184,"2013-04-09","2013-10-07",10,13,8.52643575411367,4,62
211,15,0,1,6,6,6,316,"2013-04-09","2013-10-07",15,28,13.238206207385,3,63
212,19,0,2,1,1,2,221,"2013-01-09","2013-10-07",12,9,12.8093619606131,2,91
213,20,0,1,1,2,1,624,"2013-04-09","2013-10-07",30,19,15.3324358709519,3,63
214,23,0,3,3,3,2,135,"2013-02-07","2013-10-06",9,6,3.08844837749522,8,81
215,25,0,1,4,4,3,84,"2013-03-09","2013-10-06",6,15,1.38824660502631,1,72
216,23,0,4,2,2,4,366,"2013-02-07","2013-10-06",18,16,14.5781570038089,2,85
217,34,1,4,1,1,1,225,"2013-04-09","2013-10-07",10,13,9.62657555629978,5,62
218,19,0,1,4,4,3,242,"2011-08-18","2013-10-07",20,32,7.08932737327939,3,255
219,21,1,2,3,3,2,193,"2010-11-21","2013-10-07",12,16,5.36800349449774,2,350
220,22,0,1,1,1,1,125,"2011-06-19","2013-10-07",11,6,4.40408792251715,3,281
221,27,0,2,5,5,4,290,"2011-11-16","2013-10-07",10,16,22.7169475368904,1,229
222,25,1,1,5,5,4,122,"2013-03-10","2013-10-07",5,4,8.03591420716771,6,69
223,18,1,2,1,2,3,195,"2013-02-07","2013-10-06",9,8,12.9545351051214,4,85
224,20,0,4,2,2,1,181,"2013-05-09","2013-10-07",17,24,5.19276608316667,2,48
225,31,1,4,3,3,1,105,"2013-03-09","2013-10-06",6,8,9.94653570474822,2,73
226,38,1,1,4,4,2,273,"2013-04-07","2013-10-05",16,19,8.44404765960896,5,57
227,13,0,2,1,1,3,138,"2013-03-10","2013-10-07",8,7,6.9015988601883,4,74
228,22,0,1,2,2,3,363,"2013-04-09","2013-10-07",24,14,6.45846567034035,5,64
229,15,1,2,6,6,6,108,"2013-02-08","2013-10-07",6,12,2.66602487885547,6,76
230,14,1,2,5,5,4,151,"2013-03-10","2013-10-07",12,11,4.58599587999487,2,69
231,15,1,2,2,2,6,277,"2013-04-09","2013-10-07",17,13,5.4425275216114,7,58
232,41,0,4,6,1,1,213,"2013-04-09","2013-10-07",10,9,12.3302490512013,3,55
233,22,1,2,2,2,1,111,"2012-04-14","2013-10-07",9,9,3.70549908235257,3,180
234,18,0,4,5,5,6,281,"2012-04-14","2013-10-07",12,8,10.384828034583,7,178
235,13,0,2,1,1,2,201,"2013-03-09","2013-10-06",11,7,9.22819740443101,4,69
236,45,1,1,2,2,1,168,"2013-04-08","2013-10-06",9,23,6.26704676484488,4,61
237,18,0,1,4,4,4,502,"2012-04-14","2013-10-07",25,39,8.4383582066715,9,182
238,20,1,1,6,6,6,134,"2012-01-14","2013-10-06",8,7,3.99833061376911,1,210
239,22,0,1,1,2,2,88,"2012-12-10","2013-10-07",9,13,3.77415946870322,4,103
240,12,1,1,2,3,5,189,"2013-02-08","2013-10-07",10,8,10.0652093025376,3,79
241,16,1,4,5,5,2,111,"2013-03-09","2013-10-06",8,6,5.44004401061339,2,73
242,13,0,1,2,2,2,105,"2013-04-09","2013-10-07",6,5,3.74849771072004,3,57
243,13,1,1,3,3,2,79,"2013-05-08","2013-10-06",6,10,6.15554270226445,0,54
244,22,0,2,4,4,3,321,"2013-02-07","2013-10-06",13,23,16.0572683812901,4,75
245,32,1,4,6,6,1,148,"2013-04-09","2013-10-07",6,6,12.989360780574,2,65
246,19,0,1,1,1,2,341,"2011-02-19","2013-10-07",13,14,7.99147332490319,9,316
247,16,1,2,2,2,2,142,"2013-03-10","2013-10-07",10,9,6.96729316867943,2,71
248,12,0,1,1,1,2,88,"2013-04-09","2013-10-07",5,0,5.68892105856318,0,62
249,24,0,2,3,3,2,102,"2013-03-10","2013-10-07",5,3,5.63035660556252,3,66
250,21,1,4,6,6,2,157,"2012-05-13","2013-10-06",7,6,12.4666546419643,3,168
251,17,0,2,6,6,6,56,"2012-12-05","2013-10-02",3,1,6.09603415552309,3,103
252,22,0,2,3,3,3,83,"2013-04-09","2013-10-07",3,5,12.018282519757,5,56
253,21,0,4,4,4,2,199,"2012-07-13","2013-10-07",15,23,4.83526813967022,6,151
254,13,1,4,3,4,3,319,"2013-04-07","2013-10-05",11,6,11.3645573487179,8,58
255,10,1,2,3,3,3,640,"2013-10-06","2013-10-07",16,13,5.00601924031175,33,50
256,19,0,1,5,5,6,137,"2012-02-13","2013-10-06",7,8,10.393390525986,3,200
257,16,0,1,4,4,5,137,"2013-02-08","2013-10-07",8,8,10.1966714599947,3,79
258,10,0,1,4,5,2,350,"2013-04-09","2013-10-07",12,8,17.0572846182282,7,59
259,23,1,1,4,4,5,93,"2013-04-09","2013-10-07",4,4,5.6168308979178,4,62
260,50,0,4,4,4,6,131,"2013-06-08","2013-10-07",7,7,10.9030598671941,4,45
261,18,0,4,1,1,4,200,"2012-10-11","2013-10-07",20,16,2.25704266592399,6,117
262,19,1,1,4,4,4,137,"2009-12-26","2013-10-07",9,9,5.74408054711282,3,457
263,22,1,2,5,6,5,327,"2012-09-11","2013-10-07",20,28,10.6798524349356,3,131
264,22,1,1,5,5,6,95,"2013-04-09","2013-10-07",9,9,3.51172324570669,3,62
265,20,0,1,6,6,6,112,"2009-11-25","2013-10-06",18,8,2.63352886490867,1,472
266,25,1,2,2,2,1,118,"2013-02-08","2013-10-07",8,7,6.46288799772078,3,85
267,24,0,1,4,4,2,151,"2012-12-09","2013-10-06",8,3,7.47268487624939,2,95
268,29,1,2,2,3,3,105,"2013-03-09","2013-10-06",6,4,5.24381525879351,4,68
269,38,1,4,1,1,3,68,"2013-06-08","2013-10-07",4,2,1.65650946284409,5,45
270,19,0,2,1,2,3,260,"2012-10-11","2013-10-07",12,12,8.47851384140403,2,122
271,10,1,1,6,6,3,85,"2012-11-09","2013-10-06",4,2,4.03927310159055,1,114
272,31,1,4,1,2,2,142,"2013-05-09","2013-10-07",8,6,5.19451076847133,5,48
273,17,1,1,4,4,4,51,"2013-02-05","2013-10-04",5,4,1.18070755939875,1,75
274,25,1,3,6,1,5,92,"2013-02-08","2013-10-07",9,10,4.6960428201734,5,80
275,10,0,2,4,4,6,138,"2013-01-08","2013-10-06",8,9,5.88271653991775,3,87
276,27,0,3,4,4,6,141,"2013-04-09","2013-10-07",10,8,5.83177996759335,1,61
277,36,1,4,6,6,5,267,"2013-03-10","2013-10-07",11,5,10.9260668063362,7,67
278,25,0,1,3,3,1,550,"2013-03-10","2013-10-07",15,8,26.9623667062099,7,70
279,20,0,1,6,6,4,186,"2012-08-12","2013-10-07",9,13,9.27216326112408,7,142
280,24,0,2,1,1,6,45,"2013-04-09","2013-10-07",3,4,2.54917887406783,2,62
281,28,0,4,6,6,4,75,"2013-03-09","2013-10-06",3,1,10.7993631755787,3,66
282,23,1,2,6,6,6,213,"2013-03-09","2013-10-06",8,10,10.2684151019339,6,68
283,20,0,1,4,4,4,334,"2013-03-10","2013-10-07",14,8,12.1666812362696,9,70
284,17,1,2,6,6,5,137,"2011-09-16","2013-10-06",12,10,4.75162724377397,2,250
285,20,1,2,1,2,5,481,"2012-12-10","2013-10-07",23,21,12.4308764114664,6,95
286,18,1,2,6,6,5,541,"2012-06-13","2013-10-07",21,24,16.6384595159814,7,159
287,39,1,4,2,2,2,93,"2013-05-08","2013-10-06",8,9,2.46518171353,0,46
288,14,1,2,3,3,5,122,"2013-04-09","2013-10-07",6,3,8.12794636411857,4,56
289,20,1,2,1,1,1,281,"2012-07-13","2013-10-07",10,11,13.6865367957494,3,149
290,45,0,1,2,2,3,29,"2010-09-20","2013-10-05",2,1,1.20842438704572,3,368
291,45,1,4,1,1,5,239,"2013-04-09","2013-10-07",11,9,17.1134242447842,2,63
292,39,0,1,6,6,4,73,"2013-05-07","2013-10-05",6,8,5.37795736852006,4,46
293,42,1,4,6,6,6,95,"2013-04-08","2013-10-06",6,4,5.61786062083322,3,61
294,26,1,4,3,3,3,99,"2013-04-08","2013-10-06",11,11,2.38986703996837,3,59
295,40,1,4,1,1,4,23,"2013-04-09","2013-10-07",1,1,4.2718097221269,1,55
