"","Date / Time","City","State","Shape","Summary","Posted","Duration"
"25","9/22/13 23:25","Rockville","MD","Circle","White fluorescent light color/dark circle in center/spherical shape/glimpse of it leaving orbit vanished leaving 2 lights behind it","9/30/13",3
"26","9/22/13 18:00","Warwick","RI","Circle","It looked like a star but moved in various directions.. that a plane could not do. we realized it was moving because it was between two","9/30/13",30
"27","9/22/13 06:20","Rio Rancho","NM","Circle","Bright white, round object in eastern sky seen from church doorway.","9/30/13",40
"28","9/21/13 21:11","Lawton","OK","Circle","I saw a green and blue orb of light,circular falling in a straight line silently changing colors into the tree line so of Rogers n Sher","9/30/13",NA
"29","9/21/13 20:15","Marine City","MI","Circle","At approximately 20:15 on September 21, 2013 we were traveling due West looking in the direction of Algonac Michigan when we noticed st","9/30/13",20
"30","9/21/13 19:30","Bettendorf","IA","Circle","No sound just bright light and movement faster than planes","9/30/13",30
"31","9/21/13 08:45","Milan","TN","Circle","Large elongated diamond formation of 15 silent red circle lights","9/30/13",3
"32","9/20/13 23:00","Latham","KS","Circle","Flashing colors like ball that never moved.","9/30/13",1
"33","9/19/13 21:23","Auburn","WA","Circle","Quavering/shimmering red object near moon in east sky around 9:25 pm.","9/30/13",2.5
"34","9/19/13 21:20","Downingtown","PA","Circle","Very clear night it was a full moon. A round very bright ball of light moved very fast from west to east. It was lower than planes fly.","9/30/13",4
"35","9/19/13 19:45","Albuquerque","NM","Circle","Star like craft with wings just hovering in one spot in the sky, airplanes flying near it and dogs are barking like crazy.","9/30/13",15
"36","9/18/13 23:00","Tucson","AZ","Circle","Something strange over Tucson today.","9/30/13",NA
"37","9/18/13 17:42","Rochester","WA","Circle","Singular light seen low in evening sky near Rochester, WA.  ((NUFORC Note:  Venus??  PD))","9/30/13",20
"38","9/18/13 15:00","Silver spring","MD","Circle","Saw grey spherical craft in sky just sat still for abt 60 seconds. I took a picture then it disappeared.","9/30/13",2
"39","9/17/13 21:45","Riverside","CA","Circle","20-25 bright orange orbs in full moon night sky, formed a line and changed direction, then disappeared","9/30/13",3
"40","9/17/13 19:30","Newark","NJ","Circle","Bright light on the sky look like a star behind Budweiser and near Newark international airport on 9/18/13 the i saw the same light nea","9/30/13",NA
"41","9/16/13 00:00","Idaho Falls","ID","Circle","Round Ball Of Light Falling Like A Meter With No Tail Trailing Behind It. Disappeared From View (LandeD?) Near Craters Of The Moon Area","9/30/13",30
"42","9/14/13 22:40","O'Fallon","MO","Circle","About 10:40 pm CST my wife and i saw about 75 plus orange circular objects in the western sky moving slowly west. They were in a zig za","9/30/13",5
"43","9/14/13 22:00","Lafayette","IN","Circle","Cluster of multicolor stationary lights","9/30/13",15
"44","9/14/13 21:00","Farmington","CT","Circle","15-20 similar objects with orange light (no sound) seen moving across night sky from west to south","9/30/13",15
"45","9/14/13 21:00","Meridian","ID","Circle","More than a dozen red lights travelling slowly towards North and then slowly together up in the sky","9/30/13",15
"46","9/14/13 20:45","Chicago","IL","Circle","Red glowing lights over chicago chased by an airplane.","9/30/13",2
"47","9/14/13 20:10","Frederick","MD","Circle","8-12 orangish red circles floating in western sky, slowly disappeared","9/30/13",5
"48","9/14/13 20:00","Syracuse","NY","Circle","Seen 3 orange balls of light. They disappeared and then reappeared. We followed them for about a mile. I video taped it for up to 3 min","9/30/13",10
"49","9/14/13 19:40","Murray","KY","Circle","An orange ball, about the size of the moon appeared just above the tree line appear for a few sec.s then disappeared. The object did n","9/30/13",5
"50","9/13/13 22:50","Roswell","GA","Circle","As I was walking home from picking up something I had forgotten on the field I was playing on, I was looking at the sky and at first I","9/30/13",15
"51","9/13/13 09:15","Winnipeg (Canada)","","Circle","Bright Yellow lights moving quickly across sky going northeast.  First one then another appeared within a minute of each other, we lost","9/30/13",2
"52","9/12/13 22:00","Pacoima","CA","Circle","Color changing object in north east  sky.","9/30/13",NA
"53","9/12/13 20:43","New Delhi (India)","","Circle","An unexplained object which glowed like a star burst for few seconds.","9/30/13",NA
"54","9/11/13 20:30","Emerald Isle","NC","Circle","Red and orange circular objects disappearing and reappearing.","9/30/13",50
"55","9/11/13 09:00","Gillette","WY","Circle","Strange craft flying above street lights.","9/30/13",10
"56","9/11/13 02:00","Sharpsburg","MD","Circle","Orange color changing object","9/30/13",1
"57","9/11/13 01:00","Medina","OH","Circle","Ball of fire.","9/30/13",NA
"58","9/10/13 19:35","Beavercreek","OH","Circle","A round object with very bright red green and white lights was in the sky making left to right turns very fast, no noise and then disap","9/30/13",15
"59","9/10/13","Myrtle Beach","SC","Circle","On my last night vacationing on myrtle beach as i sat on the hotel balcony i saw orange circles appear over the ocean. They appeared an","9/30/13",2
"60","9/9/13 22:20","Vienna","VA","Circle","Saw a five gold lit cicular craft moving fastly from rght to left.","9/30/13",5
"61","9/9/13 22:00","Boise","ID","Circle","Boise, ID, spherical, 20 min, 10 red lights, seen by husband and wife.","9/30/13",20
"62","9/7/13 23:15","Petaluma","CA","Circle","Orange/white circle travels at alarming speed over San Francisco area.","9/9/13",10
"63","9/7/13 22:55","Manchester","NH","Circle","Circular green craft traveling in a repeated tight circle above cloudline.","9/9/13",7
"64","9/7/13 22:30","Candle Lake (Canada)","SK","Circle","Bright orange round light Candle Lake","9/30/13",3
"65","9/7/13 22:30","Pinery Provincial Park (Canada)","ON","Circle","At approximately 10:30 pm, sitting on the beach at the Pinery Provincial Park on September 7, 2013 enjoying the night sky, two women","9/30/13",10
"66","9/7/13 22:00","Coventry","RI","Circle","Driving on the road the car in front of me pulled to the sholder, I looked up to the sky to see 5 circular shaped lights in a crescent.","9/9/13",2
"67","9/7/13 21:30","Houston","TX","Circle","Large qrange/red circle appeares and disappears in the Houston sky.","9/9/13",15
"68","9/7/13 21:00","Dayton","WA","Circle","Orange and white orb shaped object north of Dayton Washington.","9/9/13",30
"69","9/7/13 09:45","Montpelier","VT","Circle","Military jets were in close proximity to a single white colored UFO","9/30/13",2
"70","9/5/13 23:00","Belgium","","Circle","Huge bright light in belgium moving over city TERNAT.","9/9/13",6
"71","9/5/13 22:30","Shrewsbury","PA","Circle","Bright orange round light in sky moving slowly in a south to south west direction.","9/9/13",2
"72","9/5/13 21:00","Emerald Isle","NC","Circle","Emerald Isle orange lights.","9/9/13",2
"73","9/5/13 20:30","Cary","NC","Circle","Bright glowing circular object south of Raleigh Durham Airport in Cary, NC.","9/9/13",45
"74","9/5/13 20:25","Bellingham","MA","Circle","Large Red dot traveling north to south 3x plane beacon size.","9/9/13",25
"75","9/5/13 20:00","Whittier","CA","Circle","2 Large round red pulsating objects in the sky appeared to be on fire.  Seen by 5 people in Whittier, CA.","9/9/13",5
"76","9/5/13 19:00","Gallatin","TN","Circle","Circular objects, bright, reflective, appearing then vanishing.","9/9/13",30
"77","9/4/13 21:50","Sault Ste. Marie (Canada)","ON","Circle","Stationary, multicolored, circular moving lights, met by another object which raised to meet it and then it too displayed the lights.","9/9/13",5
"78","9/4/13 21:00","Covington","GA","Circle","9 GLOWING BALLS CROSSING HIGHWAY 20 EAST BOUND.","9/9/13",3
"79","9/3/13 22:44","Chittenango","NY","Circle","Small bright, colorful flashing objects seen in Chittenango, NY.","9/9/13",2
"80","9/3/13 20:00","Mt. Airy","NC","Circle","Huge bright circular object over Mt. Airy, NC...Surry County.","9/9/13",40
"81","9/3/13 04:20","Barrhaven (Canada)","ON","Circle","I got up early as usual made a cup of tea and noticed how clear and bright the stars were then I saw this one star moving fast.","9/9/13",5
"82","9/2/13 21:35","Lincoln City","OR","Circle","A round orange ball of light- looking like fire traveled north across the sky before fading in the distance. It seemed to be rotating a","9/9/13",60
"83","9/2/13 19:00","Queen Creek","AZ","Circle","UFO filmed over queen creek, az.","9/9/13",20
"84","9/2/13 18:30","Mesa","AZ","Circle","Very bright light in north eastern sky. Larger then stars and smaller then moon.  ((NUFORC Note:  We suspect a star.  PD))","9/9/13",NA
"85","9/2/13 07:10","Peoria","AZ","Circle","LARGE CIRCULAR BRIGHT LIGHT AT DUSK IN ARIZONA","9/9/13",2
"86","9/1/13 21:57","Bozrah","CT","Circle","Orange orb spotted over gardener lake dam.","9/9/13",1
"87","9/1/13 21:19","Wakeman","OH","Circle","Viewed a bright orange round light in the night sky moving right to left and then up to dim or dissapeared.","9/9/13",2
"88","8/31/13 22:20","Phoenix","NY","Circle","Eastbound orb.","9/9/13",4
"89","8/31/13 21:30","Fairmont","WV","Circle","Crazy lol","9/9/13",NA
"90","8/31/13 21:29","Spruce Grove (Canada","AB","Circle","Was outside and noticed a first ball shaped going up from the ground and then disappeared as two others followed suit","9/9/13",5
"91","8/31/13 21:10","Fort Atkinson","WI","Circle","Our 15yr old granddaughter  and her friend made me and my husband come outside to see this fire in the sky. It was round and looked lik","9/9/13",5
"92","8/31/13 21:00","South Lincoln","VT","Circle","Three orange colored circular objects, S. Lincoln Vermont.","9/9/13",7
"93","8/31/13 13:29","Beloit Township","WI","Circle","08-31-13   13:29  Round grey disc insight for 5 or 6 seconds.","9/9/13",5
"94","8/31/13 11:30","Oakhill","WV","Circle","Aug. 31 13 lights over WV","9/9/13",15
"95","8/30/13 22:00","Enola","PA","Circle","Blue, white, orange, and yellow flashing lights on an object that is moving/hovering in a slight circular motion.","9/9/13",NA
"96","8/30/13 21:25","Pacific City","OR","Circle","Orange hovering light moving slowly then rapidly then gone into thin air","9/9/13",NA
"97","8/30/13 21:15","Bristol","CT","Circle","Orange lights in the sky","9/9/13",15
"98","8/30/13 04:00","Palmer","AK","Circle","Orange circles above Palmer.","8/30/13",15
"99","8/30/13 01:00","Corpus Christi","TX","Circle","Light in sky never changed direction but did change colors red, green, blue.  ((NUFORC Note:  Twinkling star??  PD))","9/9/13",NA
"100","8/29/13 20:30","Newark","DE","Circle","Circle with lites","9/30/13",2.5
"101","8/26/13 23:00","Dodge City","KS","Circle","There was a light light that sat a over dodge city for at least an hour before vanishing completely. I was at the the Koch nitrogen ref","8/30/13",1
"102","8/26/13 04:40","Greensboro","GA","Circle","Pulsating slow moving white light in northeast sky.","8/30/13",7
"103","8/25/13 22:00","Moultrie","GA","Circle","I was helping my girlfriend with laundry out of car when I notice what looked like a star. I told her to look at the crept star and the","8/30/13",2
"104","8/25/13 21:00","Worton","MD","Circle","Three fiery orbs travel in straight formation, alter formation slightly, then disappear, one at a time","8/30/13",2
"105","8/25/13 20:30","Indianapolis","IN","Circle","Two whitish yellowish circular objects in nw sky.","8/30/13",230
"106","8/24/13 22:40","Hickory Hills","IL","Circle","Round fireball passing through the sky of Hickory Hills Illinois","8/30/13",30
"107","8/24/13 22:00","Fort Wayne","IN","Circle","2 circle bright white objects seen by 8 witnesses.","8/30/13",30
"108","8/24/13 22:00","Claremont","NH","Circle","A large glowing object moves slowly then instantly disappears!","8/30/13",15
"109","8/24/13 21:35","Lisle","IL","Circle","08/24/13, 21:35, lisle, il, circle shaped object with red below, two minutes.","8/30/13",2
"110","8/24/13 21:15","Hackensack","NJ","Circle","5 bright white lights seen over North Jersey.","8/30/13",8
"111","8/24/13 21:15","Chatham","IL","Circle","My son and I looking to the North, saw 3 circular orangeish/red objects moving quick smooth pace, Easterly towards the West.  Objects w","8/30/13",2
"112","8/24/13 21:05","Los Angeles","CA","Circle","Over North Hollywood CA,Aug 24, 2013 Round Glowing Object darts across the Los Angeles sky like a speeding lantern.","8/30/13",30
"113","8/24/13 21:00","Janesville","WI","Circle","Orange glow with kinda yellowish tint on bottom.","8/30/13",30
"114","8/24/13 21:00","New York City (Bronx)","NY","Circle","50 bright lights move fast and stop","8/30/13",20
"115","8/24/13 20:00","Kerville","TX","Circle","Amber blinking large orb in woods then sky at secluded ranch in texas.","8/30/13",30
"116","8/24/13 20:00","Bemus Point","NY","Circle","Round white and red lighted object over Chautauqua Lake, August 24, 2013","8/30/13",1
"117","8/24/13 17:00","Abington","PA","Circle","Something small, circular and white very slowly moved from the north down the sky toward the flight paths to Philadelphia Airport.","8/30/13",20
"118","8/24/13 01:00","Shaw","MS","Circle","Looked Like A Low Star then dotted off over tree line","8/30/13",2
"119","8/23/13 23:45","Marco Island","FL","Circle","Hovering and disappearing lights over Marco Island","8/30/13",10
"120","8/23/13 22:47","Hamden","CT","Circle","For several minutes we watched many red/orange objects fly slowly and low across the sky.","8/30/13",17
"121","8/23/13 20:30","Johnstown","CO","Circle","3 white circle objects.","8/30/13",10
"122","8/22/13 20:10","Winston-Salem","NC","Circle","Dark object going south below clouds with singular rotating light on the bottom","8/30/13",1
"123","8/22/13 10:00","Fort Dodge","IA","Circle","Bright white light disapeered away from the earth.","8/30/13",10
"124","8/21/13 13:00","Glen Rose","TX","Circle","Strange bright orb that looks like a second sun in the sky, but lower than the sun.","8/30/13",5
"125","8/20/13 23:30","Waynesboro","VA","Circle","Bright white light flying in circular motions over mountain.","8/30/13",25
"126","8/20/13 22:20","Baltimore","MA","Circle","Looked and saw 3 orange lights, small dots in the east, in a triangle formation.  Went in to tell my family.  Came back out with two of","8/30/13",15
"127","8/20/13 21:00","Bredenbury (Canada)","SK","Circle","Two orange fireballs seen over Bredenbury , Saskatchewan .","8/30/13",1
"128","8/20/13 07:50","Ellsworth","ME","Circle","Branch Lake UFO sightings. Circular crafts, with white flashing lights.","8/30/13",30
"129","8/19/13 21:02","Rochester","WA","Circle","Observed object hovering at low altitude, spinning,and changing colors. in S.W. evening sky.","8/30/13",2
"130","8/19/13 21:00","Kill Devil Hills","NC","Circle","Circular orbs launching to the sky.","8/30/13",30
"131","8/19/13 21:00","Columbus (northwest part)","OH","Circle","Clear sky 9pm-Red Object traveling faster then any plane i ever eyewitnesses in the NE sky  35-40 secs. before &quot; blinking out&quot","8/30/13",230
"132","8/18/13 21:45","Brandenton Beach","FL","Circle","Pulsing orange light disappears on vacation.","8/30/13",5
"133","8/18/13 20:56","Rochester","WA","Circle","I witnessed a circular craft hovering low in the southern sky,just before dark.","8/30/13",18
"134","8/18/13 19:30","Temecula","CA","Circle","Saw A Circular Shiny Object Or Disk In The Sky","8/30/13",20
"135","8/18/13 03:15","Paradise","MT","Circle","A large white object with sparks coming off it lit up the night sky before breaking into pieces.","8/30/13",3
"136","8/18/13 03:00","Safford","AZ","Circle","Green hazy circular craft w/strange light pattern on craft.","8/30/13",2
"137","8/17/13 22:05","Lowell","MA","Circle","Orange ball like burning ember moving in erratic pattern about 5000 feet","8/30/13",90
"138","8/17/13 22:00","Danbury","CT","Circle","15-18 orange circular objects w/o sound moving from n to ne.","8/30/13",8
"139","8/17/13 21:00","Sag Harbor","NY","Circle","Orange light over Sag Harbor.","8/30/13",30
"140","8/17/13 20:30","Gloucester","MA","Circle","We were in awe and wonder what did we see?","8/30/13",3
"141","8/17/13 01:00","San Diego (Pacific Beach)","CA","Circle","Small circular orb moving in various directions silently while changing colors, Red,Purple,White,Green,and Blue over LaJolla San Diego,","8/30/13",5
"142","8/16/13 22:20","Manson","WA","Circle","Very bright, round light appeared instantly and receded.","8/30/13",15
"143","8/16/13 21:30","Fredericksburg","VA","Circle","Slow flashing light grew dim enough to reveal circular craft at the center with dimmer steady lights around outer rim.","8/30/13",8
"144","8/16/13 21:15","Fenton","MO","Circle","Large bright orange craft.  Silent and flew by fast","9/30/13",20
"145","8/16/13 08:00","Santa Clara","CA","Circle","Got out of car to stretch my back after dropping my wife off at work, where she runs a project as a program coordinator at the local co","9/30/13",3
"146","8/15/13 22:30","Toronto (Canada)","ON","Circle","Bright blue circular object over Downsview Ontario Canada","8/30/13",20
"147","8/15/13 22:00","Cedar Grove","NC","Circle","Greenish circles right above the treeline.  As big as a car and moving together","8/30/13",15
"148","8/15/13 21:58","Mission Viejo","CA","Circle","Object bright orange in color,no noise heard,moved slowly and became smaller and disappeared","8/30/13",2
"149","8/13/13 23:00","Cannon Beach","OR","Circle","Dim white light went to a super white pulsed 3 blue luminated rings . after 30 seconds the lights retracted back tothe white light then","8/30/13",7
"150","8/13/13 22:00","Arden","ON","Circle","Round orange object crosses the the clear calm night sky, NW to SE, in 45 sec, 22:00. No sound or navigation lights.","9/9/13",44
"151","8/13/13 08:10","Okemos","MI","Circle","Full moon kind of object moving across the sky.","8/30/13",1
"152","8/13/13 01:50","San Diego (north of)","CA","Circle","Round black object low over the 15 North by Escondido.","8/30/13",6
"153","8/12/13 21:15","Rochester","WA","Circle","Viewed on different evenings, overhead, and on the western horizon,originally thought it was a star or airplane headlight.","8/30/13",10
"154","8/12/13 12:30","Yucaipa","CA","Circle","Caught circular object in photograph.","8/30/13",NA
"155","8/12/13 09:23","Portales","NM","Circle","A big orange/grey circle type object appearing before and after storm.","8/30/13",8
"156","8/12/13 00:00","Walla Walla","WA","Circle","Red-orange orbs slow and low-flying over town.","8/30/13",30
"157","8/11/13 18:00","Dover/Foxcroft","ME","Circle","Bright object moving below horizon and then reappeared.","8/30/13",5
"158","8/11/13 16:00","Concan","TX","Circle","At around 4:30 am on August 11, 2013 my mother and I were observing the meteor shower at Garner State Park. First we saw an object we b","8/30/13",120
"159","8/11/13 01:00","Georgetown","TX","Circle","Saw bright, dark turquoise light in the air. it was there, and then not, all in an instant.","8/30/13",3
"160","8/11/13 00:30","Amherst","ME","Circle","Circular amber light seen towards to the NW; no sound","8/30/13",5
"161","8/10/13 23:40","Morrow","OH","Circle","Orangish/red sphere seen by two witnesses in southwestern ohio","8/30/13",3
"162","8/10/13 22:00","Bristol","NH","Circle","Reddish orange circular craft spotted over New Hampshire conservation area.","8/30/13",30
"163","8/10/13 21:50","Beech Creek","PA","Circle","Observation of 2 brightly reddish glowing objects in night sky with no sound or discernible  characteristics of familiar aircraft.","8/30/13",6
"164","8/10/13 19:30","Cochin (India)","","Circle","Bright blue light appeared for seconds","8/30/13",5
"165","8/10/13 09:30","Yakima","WA","Circle","We sighted 3 orb like lights that changed colors from red to white and traveled fairly fast. Hovered together and separated quickly. We","8/30/13",20
"166","8/9/13 23:00","Guelph (Canada)","ON","Circle","A  large, round, bright red/orange object drifted across the sky over Guelph, Canada, at 11:00 p.m. on August 9, 2013.","8/30/13",2
"167","8/9/13 22:30","Tyrone (Canada)","ON","Circle","2 orange circles moving in perfect sync.","8/30/13",10
"168","8/9/13 21:00","Hermitage","PA","Circle","3 red fireballs in the Eastern sky near hermitage pa.","8/30/13",5
"169","8/9/13 12:15","Merced","CA","Circle","Two bright dots, moving west to east, viewed in a telescope","8/30/13",1
"170","8/9/13 11:00","Merced","CA","Circle","Circular, shiny, reflective object clearly observed in sky on August 9, 2013 at 11:00 am  by several witnesses","8/30/13",3.5
"171","8/8/13 23:20","Los Angeles","CA","Circle","It shot through the sky twice, it stayed still for a while and then disapeared.","8/30/13",3
"172","8/8/13 21:35","Lincoln City","OR","Circle","Light orb over Lincoln City, Or.","8/30/13",4
"173","8/8/13 21:30","San Diego","CA","Circle","15 flying objects over San Diego.","8/30/13",5
"174","8/8/13 21:12","Richmond (Canada)","BC","Circle","Bright blue white light fading in and fading out within 5 seconds","8/30/13",5
"175","8/8/13 21:09","Coeur d'Alene","ID","Circle","HTV4 following ISS on 08AUG13 Spokane WA / Coeur d;Alene, ID. ((NUFORC Note:  Japanese HTV-4 craft flying close to the ISS.  PD))","8/30/13",6
"176","8/8/13 21:00","Old Orchard Beach","ME","Circle","Low flying bright object at the beach","8/30/13",2
"177","8/8/13 09:30","Jacob Lake","AZ","Circle","Jacob Lake, Arizona, 8/8/13 , at 9:30 pm, white dote moving zig zag","8/30/13",NA
"178","8/8/13","Ottawa (Canada)","ON","Circle","Object lights up very bright","8/30/13",16
"179","8/7/13 22:25","Seattle","WA","Circle","Slow and steady moving orange/red circles sighted in lower altitude sky above northeast Seattle","8/30/13",7
"180","8/7/13 21:30","Custer","WI","Circle","I get the daily NASA Space-station fly-over report but never get to see it because of the weather or time of fly-over. Wednesday night,","8/30/13",5
"181","8/7/13 20:30","Orlando","FL","Circle","Round Ball of light emitting &quot;sparks&quot;/light hovering in Orlando, Florida","8/30/13",3
"182","8/7/13 20:29","Staten Island","NY","Circle","2 circles following each other.","9/9/13",NA
"183","8/6/13 22:50","Lewiston","ME","Circle","Bright light in constellation Cassiopeia.  ((NUFORC Note:  Possible ""flare"" from Iridium satellite?  PD))","8/30/13",8
"184","8/6/13 22:40","Verona","KY","Circle","Yellow-Orange glowing sphere and two smaller spheres chasing each other","8/30/13",3
"185","8/6/13 20:00","West Palm Beach","FL","Circle","Craft was round and gave off an extraordinary amount of light.","8/30/13",10
"186","8/5/13 22:01","Valdosta","GA","Circle","Happens every night, round objects that move around. Just about the same area every night as well.","8/30/13",10
"187","8/5/13 22:00","Marstons Mills","MA","Circle","Bright sphere seen two nights in a row moving across the sky!","8/30/13",7
"188","8/5/13 10:30","Oak Island","NC","Circle","Orange round lights seen north of the beach on Oak Island. Made a triangle formation once, then went in a straight horizantal line. Mov","8/30/13",5
"189","8/5/13 00:00","Daytona Beach","FL","Circle","My friend and I were sitting on the balcony of a hotel on the water, on Daytona Beach. Suddenly and orange ball appeared over the water","8/30/13",1
"190","8/4/13 21:05","Lake George","NY","Circle","Reddish-Orange Sphere over Lake George Village NY","8/30/13",4
"191","8/4/13 20:15","Auburn","KY","Circle","Fast moving white sphere with greenish blue outer layer with a cone shaped trail.","8/30/13",30
"192","8/4/13 20:12","Knappa","OR","Circle","Multiple lights in sky.","8/30/13",10
"193","8/4/13 20:10","Gurley","AL","Circle","Bright green sphere with red tip behind it coming down at a 45 degree angle from north going south visible for only a few seconds.","8/30/13",2
"194","8/4/13 16:40","Leesburg","VA","Circle","Red metallic football shaped object very high in the sky heading southbound at 16:40 over Northern Virginia.","8/30/13",130
"195","8/3/13 21:30","Dyersville","IA","Circle","This blue lighted craft, with a bit of orange and it was over dyersville iowa on Aug 3rd 2013, hovered for a while at about 9:30pm, slo","8/30/13",15
"196","8/3/13 21:18","Pittsburgh","PA","Circle","Possible UFO sighting","8/30/13",5
"197","8/3/13 21:15","Voorheesville","NY","Circle","Orange glowing shere seen on 2 successive nights at almost the same time for 30-120 seconds","8/30/13",30
"198","8/2/13 23:25","River Falls","WI","Circle","On Friday 08/02/13,at about 23:30, My wife and I were at my sons house in River Falls, WI. We were sitting in the back yard, having a b","8/30/13",10
"199","8/1/13 22:15","Grayson","LA","Circle","First two were solid black with no lights the last one orangish gold.","8/30/13",35
"200","8/1/13 21:20","Bethany Beach","DE","Circle","Bethany beach de, boardwalk, 3 red-orange, flickering balls located over ocean, NE direction","8/30/13",5
"201","8/1/13 20:01","Highway 5","AZ","Circle","I have seen a few unidentified flying objects floating in space right above highway 10 from California to Arizona.","9/30/13",NA
"202","8/1/13 00:15","Wells","VT","Circle","Circular object with rotating changing colored lights hovering in the night sky.","8/30/13",45
"203","7/31/13 22:34","Elk Grove","CA","Circle","Bright star like circular object shoots across the sky at amazing speed","8/30/13",5
"204","7/31/13 22:00","Mt. Chestnut","PA","Circle","Had multiple of lights and 1 big light that moved around the outside.","8/30/13",NA
"205","7/31/13 21:40","Gresham","OR","Circle","6 amber circles forming a diamond shape moving fast in the sky.","8/30/13",15
"206","7/31/13 04:35","Whitehaven (UK/England)","","Circle","Ball of white light","8/30/13",10
"207","7/30/13 22:45","Dublin","OH","Circle","A single orange circle floating in the sky for a matter off seconds and disappeared.   The object was traveling north and seemed to sto","8/30/13",10
"208","7/30/13 20:40","St. Paul","MN","Circle","Six uniform white lights in St Paul, Minnesota.  Near the Saints stadium.","8/30/13",5
"209","7/30/13 12:00","Oshkosh","WI","Circle","Flying disk over Oshkosh Airport during EAA fly-in.","8/30/13",30
"210","7/29/13 23:00","Elba","NY","Circle","Multiple ufo","8/30/13",60
"211","7/29/13 21:40","Vancouver","WA","Circle","Bright green donut shape disk in sky","8/30/13",10
"212","7/29/13 01:15","Wildwood Crest","NJ","Circle","Orange glowing device flying high over ocean","8/30/13",5
"213","7/29/13 00:30","Wildwood","NJ","Circle","Four orange orbs of light above the Atlantic Ocean.","8/30/13",15
"214","7/28/13 22:20","Orrington","ME","Circle","20 plus amber colored objects in formation over Orrington","8/30/13",10
"215","7/28/13 21:30","Hialeah","FL","Circle","Was walking dog down the street and looked at the distance and saw 3 Amber looking objects in the distance,  they were in a triangular","8/30/13",NA
"216","7/28/13 19:30","Pittsburgh","PA","Circle","Large red/orange balloon that appeared to be an APPARITION.","8/30/13",15
"217","7/27/13 23:30","Florence","KY","Circle","Circular, rustic looking craft  over Florence, Kentucky.","8/30/13",1
"218","7/27/13 22:00","Morrisville","PA","Circle","Circular disk shaped with lights","8/30/13",5
"219","7/27/13 21:55","Seven Hills","OH","Circle","07/27/13 at 21:55 in Seven Hills, Ohio observed were 8 round orange-red balls traveling south to north, duration 4 minutes.","8/30/13",4
