"date","time","city","state","shape","duration","summary","post_date"
"10/7/13","20:00","Oklahoma","OK","Circle",NA,"Bright flying orb.","10/14/13"
"10/5/13","23:00","Carlow (Ireland)","","Circle",NA,"A weird sky very important.","10/14/13"
"10/5/13","21:30","Oviedo","FL","Circle","30","A grid formation of 30 or 36 lights, no noise.","10/14/13"
"10/5/13","21:20","Encinitas","CA","Circle","120","Glowing/pulsating orange light, moving quickly &amp; erratically in San Diego, CA.","10/14/13"
"10/5/13","20:00","Nashville","TN","Circle","30","Two bright star-ish lights moving parallel over Nashville sky.","10/14/13"
"10/5/13","05:45","Longmont","CO","Circle","3","White object traveling very fast NW to SE.","10/23/13"
"10/5/13","00:40","Staten Island","NY","Circle","2","Light streaks across Staten Island.","10/14/13"
"10/4/13","22:30","Maryville","TN","Circle","60","Huge circular bright light.","10/14/13"
"10/4/13","21:55","Madison","AL","Circle","300","Attached video.  Yes Not quality but it shows what was seen.  Don't laugh.","10/14/13"
"10/4/13","20:10","South Point","OH","Circle","1200","Dark spinning object seen after seeing 5 orange globes.","10/14/13"
"10/4/13","20:00","Albuquerque","NM","Circle","600","Numerous blue white shimmering spheres moving rapidly from northwest to southeast over Albuquerque.","10/14/13"
"10/4/13","20:00","Fairbanks","AK","Circle","600","Strange orange lights moving unnaturally across the sky.","10/14/13"
"10/4/13","17:20","Millstone Township","NJ","Circle","60","UFO SIGHTING in NJ.","10/14/13"
"10/4/13","08:04","Salt Lake City","UT","Circle","1500","Starlike object that hovers and then slowly moves.","10/14/13"
"10/3/13","22:15","Clarksville","AR","Circle","2","Solid orange circle/orb streaked through the night sky; no noise, tail, or glow","10/14/13"
"10/3/13","21:00","Louisburg","NC","Circle","3","UFO sighted near Louisburg, NC moving north to south at a very high speed.","10/14/13"
"10/3/13","20:55","Covington","VA","Circle","30","Blue/green light flashing on a round object over town.","10/14/13"
"10/3/13","10:00","Rineyville","KY","Circle",NA,"Large black circles were found on the grass in our back yards.","10/3/13"
"10/3/13","05:30","Rex","GA","Circle","900","Hovering craft near Rex Georgia.","10/3/13"
"10/2/13","20:10","Fairfax Station","VA","Circle","20","Orangish yellow ball falls from sky.","10/3/13"
"10/2/13","19:15","La Habra","CA","Circle",NA,"Circled shape object vanishes near La Habra, CA.","10/3/13"
"10/2/13","06:45","Upper Marlboro","MD","Circle","2","I was painting my house and was on a step ladder about 6 ft high and saw an orange light that looked like it was rotating vertically.","10/23/13"
"10/1/13","21:40","Sneedville","TN","Circle","900","Large round bright white light moved away and upward for 1-1.5 min before completely disappearing.","10/3/13"
"10/1/13","07:40","Bakersfield","CA","Circle","30","There was a metal looking star hovering several miles s/w of Bakersfield, Ca. my friend, girlfriend, and i were driving to the park an","10/3/13"
"9/29/13","21:00","Mauritius Island (Mauritius)","","Circle",NA,"Around 9 at night it was reported with picture proof by many residents in the island of Mauritius. The object was white and circular wi","9/30/13"
"9/29/13","20:00","Port Louis (Mauritius Island)","","Circle","900","Hi if you are reading this message some peoples and i have seen an object flying by our country and i have a foto and it is circulating","9/30/13"
"9/29/13","19:39","Madison","WI","Circle",NA,"Red lights coming into sky","9/30/13"
"9/29/13","19:30","Newbury","VT","Circle","600","White Pulsating Light With Red","9/30/13"
"9/29/13","19:05","Durban (South Africa)","","Circle","360","A round object in the sky with an aura of light around it moving very slowly across the sky. The object seemed as if it was in space an","9/30/13"
"9/29/13","19:00","Maseru (Lesotho; South Africa)","","Circle","1800","White disk seen in the sky over Lesotho and South Africa, that moved and beacame smaller and was seen by many people.","9/30/13"
"9/29/13","18:58","Springboro","OH","Circle","180","3 bright yellow lights moving independently, disappearing and reappearing in western sky of SW OHIO","9/30/13"
"9/29/13","18:30","Gunnison area","CO","Circle","2700","Headed west on Highway 50.  About 16 miles east of Gunnison CO saw large circular white light to the S, headed W at about 60 mph.","9/30/13"
"9/29/13","03:15","Clarksville","AR","Circle","2","Solid orange circle/orb flew by with no trail, sound, or glow.","10/14/13"
"9/28/13","22:16","Ottawa (Canada)","ON","Circle","2400","Large circle with web like  colored (red, green, blue, silver) lightning bolts inside","9/30/13"
"9/28/13","21:50","Sunset Park","NY","Circle",NA,"Stationary white lights rotating erratically in a circular formation inside of a cloud.","9/30/13"
"9/28/13","21:10","West Carrollton","OH","Circle","300","Bright light splits into two then four bright lights.","9/30/13"
"9/28/13","21:00","Niagara Falls","NY","Circle",NA,"Orange light circle seen by four people in Niagara Falls.","9/30/13"
"9/28/13","20:00","Cleveland","OH","Circle","14400","Red and green orb.  ((NUFORC Note:  We suspect a sighting of Arcturus.  PD))","10/23/13"
"9/28/13","20:00","Owls Head","NY","Circle","600","30 or so round red globs of light come uo from the northeast--5 at a time--over the tree line--then disappear.","9/30/13"
"9/28/13","20:00","Athens","GA","Circle","300","Very bright light hovering above trees then shot off","9/30/13"
"9/27/13","11:40","Shaker Heights","OH","Circle","15","Blue green round fireball appeared while my husband was walking the dog. It seemed to be at a distance but was quite large...seemed to","9/30/13"
"9/27/13","05:00","Ozark","AR","Circle","2","Yellowish orange orb moving horizonally, low to the ground at a very high rate of speed with no sound, no tail","9/30/13"
"9/26/13","21:30","North Myrtle Beach","SC","Circle","180","Large Orange Circles hovering and &amp;quot;dancing&amp;quot; in the sky - North Myrtle Beach","9/30/13"
"9/26/13","21:30","North Myrtle Beach","SC","Circle","180","Fast moving, low altitude orange orb","9/30/13"
"9/26/13","21:05","Conway","SC","Circle","47","Appears to be three red-orange independent objects with independent movement. White light much larger and simply vanised","9/30/13"
"9/26/13","21:00","Longs","SC","Circle","30","3 glowing spheres going completing dark and appearing in opposite direction.","9/30/13"
"9/26/13","19:40","Cincinnati","OH","Circle","180","Seen two orange fire balls rotating around each other with no sound and lasted for a few min Them the bright light vanished and the fle","9/30/13"
"9/25/13","05:17","Three Forks","MT","Circle","2700","Strange movement of circular lights.","9/30/13"
"9/24/13","20:35","Fairbanks","AK","Circle","120","3 white orbs. 2 in front 1 behind.","9/30/13"
"9/23/13","23:15","Neillsville","WI","Circle",NA,"I&#8217;d like to get some opinions or input. For several months I&#8217;ve been seeing objects in the sky over Neillsville. At first I tho","9/30/13"
"9/22/13","23:25","Rockville","MD","Circle","3","White fluorescent light color/dark circle in center/spherical shape/glimpse of it leaving orbit vanished leaving 2 lights behind it","9/30/13"
"9/22/13","18:00","Warwick","RI","Circle","1800","It looked like a star but moved in various directions.. that a plane could not do. we realized it was moving because it was between two","9/30/13"
"9/22/13","06:20","Rio Rancho","NM","Circle","2400","Bright white, round object in eastern sky seen from church doorway.","9/30/13"
"9/21/13","21:11","Lawton","OK","Circle","5","I saw a green and blue orb of light,circular falling in a straight line silently changing colors into the tree line so of Rogers n Sher","9/30/13"
"9/21/13","20:15","Marine City","MI","Circle","1200","At approximately 20:15 on September 21, 2013 we were traveling due West looking in the direction of Algonac Michigan when we noticed st","9/30/13"
"9/21/13","19:30","Bettendorf","IA","Circle","1800","No sound just bright light and movement faster than planes","9/30/13"
"9/21/13","08:45","Milan","TN","Circle","180","Large elongated diamond formation of 15 silent red circle lights","9/30/13"
"9/20/13","23:00","Latham","KS","Circle","3600","Flashing colors like ball that never moved.","9/30/13"
"9/19/13","21:23","Auburn","WA","Circle","1500","Quavering/shimmering red object near moon in east sky around 9:25 pm.","9/30/13"
"9/19/13","21:20","Downingtown","PA","Circle","4","Very clear night it was a full moon. A round very bright ball of light moved very fast from west to east. It was lower than planes fly.","9/30/13"
"9/19/13","19:45","Albuquerque","NM","Circle","900","Star like craft with wings just hovering in one spot in the sky, airplanes flying near it and dogs are barking like crazy.","9/30/13"
"9/19/13","19:39","Pictou (Canada)","NS","Circle",NA,"Images on digital photos taken Sept 19th and just noted Oct 1st in squence and time stamped.  ((NUFORC Note:  Lens flare?  PD))","10/3/13"
"9/18/13","23:00","Tucson","AZ","Circle",NA,"Something strange over Tucson today.","9/30/13"
"9/18/13","22:30","Ketchum","ID","Circle","900","Bright orange light in the sky over the Wood River Valley, Hailey Idaho","10/14/13"
"9/18/13","17:42","Rochester","WA","Circle","1200","Singular light seen low in evening sky near Rochester, WA.  ((NUFORC Note:  Venus??  PD))","9/30/13"
"9/18/13","15:00","Silver spring","MD","Circle","120","Saw grey spherical craft in sky just sat still for abt 60 seconds. I took a picture then it disappeared.","9/30/13"
"9/17/13","21:45","Riverside","CA","Circle","180","20-25 bright orange orbs in full moon night sky, formed a line and changed direction, then disappeared","9/30/13"
"9/17/13","19:30","Newark","NJ","Circle",NA,"Bright light on the sky look like a star behind Budweiser and near Newark international airport on 9/18/13 the i saw the same light nea","9/30/13"
"9/16/13","00:00","Idaho Falls","ID","Circle","1800","Round Ball Of Light Falling Like A Meter With No Tail Trailing Behind It. Disappeared From View (LandeD?) Near Craters Of The Moon Area","9/30/13"
"9/15/13","01:00","East Los Angeles","CA","Circle",NA,"A circular object hovering in the sky for 1-2 hours with red, green, and white flashing lights not going in any type of direction.","10/23/13"
"9/14/13","22:40","O'Fallon","MO","Circle","300","About 10:40 pm CST my wife and i saw about 75 plus orange circular objects in the western sky moving slowly west. They were in a zig za","9/30/13"
"9/14/13","22:00","Lafayette","IN","Circle","900","Cluster of multicolor stationary lights","9/30/13"
"9/14/13","21:00","Meridian","ID","Circle","900","More than a dozen red lights travelling slowly towards North and then slowly together up in the sky","9/30/13"
"9/14/13","21:00","Farmington","CT","Circle","900","15-20 similar objects with orange light (no sound) seen moving across night sky from west to south","9/30/13"
"9/14/13","20:45","Chicago","IL","Circle","120","Red glowing lights over chicago chased by an airplane.","9/30/13"
"9/14/13","20:10","Frederick","MD","Circle","300","8-12 orangish red circles floating in western sky, slowly disappeared","9/30/13"
"9/14/13","20:00","Syracuse","NY","Circle","600","Seen 3 orange balls of light. They disappeared and then reappeared. We followed them for about a mile. I video taped it for up to 3 min","9/30/13"
"9/14/13","19:40","Murray","KY","Circle","5","An orange ball, about the size of the moon appeared just above the tree line appear for a few sec.s then disappeared. The object did n","9/30/13"
"9/13/13","22:50","Roswell","GA","Circle","15","As I was walking home from picking up something I had forgotten on the field I was playing on, I was looking at the sky and at first I","9/30/13"
"9/13/13","22:30","Green Bay","WI","Circle","180","Red ball of light with orange glow gliding not far above tree line, then dis appears in sky.","10/3/13"
"9/13/13","09:15","Winnipeg (Canada)","","Circle","120","Bright Yellow lights moving quickly across sky going northeast.  First one then another appeared within a minute of each other, we lost","9/30/13"
"9/12/13","22:00","Pacoima","CA","Circle",NA,"Color changing object in north east  sky.","9/30/13"
"9/12/13","20:43","New Delhi (India)","","Circle",NA,"An unexplained object which glowed like a star burst for few seconds.","9/30/13"
"9/11/13","20:30","Emerald Isle","NC","Circle","3000","Red and orange circular objects disappearing and reappearing.","9/30/13"
"9/11/13","09:00","Gillette","WY","Circle","10","Strange craft flying above street lights.","9/30/13"
"9/11/13","02:00","Sharpsburg","MD","Circle","3600","Orange color changing object","9/30/13"
"9/11/13","01:00","Medina","OH","Circle",NA,"Ball of fire.","9/30/13"
"9/10/13","19:35","Beavercreek","OH","Circle",NA,"A round object with very bright red green and white lights was in the sky making left to right turns very fast, no noise and then disap","9/30/13"
"9/10/13",NA,"Myrtle Beach","SC","Circle","120","On my last night vacationing on myrtle beach as i sat on the hotel balcony i saw orange circles appear over the ocean. They appeared an","9/30/13"
"9/9/13","22:20","Vienna","VA","Circle","5","Saw a five gold lit cicular craft moving fastly from rght to left.","9/30/13"
"9/9/13","22:00","Boise","ID","Circle","1200","Boise, ID, spherical, 20 min, 10 red lights, seen by husband and wife.","9/30/13"
"9/7/13","23:15","Petaluma","CA","Circle","10","Orange/white circle travels at alarming speed over San Francisco area.","9/9/13"
"9/7/13","22:55","Manchester","NH","Circle","420","Circular green craft traveling in a repeated tight circle above cloudline.","9/9/13"
"9/7/13","22:30","Pinery Provincial Park (Canada)","ON","Circle","600","At approximately 10:30 pm, sitting on the beach at the Pinery Provincial Park on September 7, 2013 enjoying the night sky, two women","9/30/13"
"9/7/13","22:30","Candle Lake (Canada)","SK","Circle","180","Bright orange round light Candle Lake","9/30/13"
"9/7/13","22:00","Coventry","RI","Circle","120","Driving on the road the car in front of me pulled to the sholder, I looked up to the sky to see 5 circular shaped lights in a crescent.","9/9/13"
"9/7/13","21:30","Petaluma","CA","Circle","7","White/Orange sphere races across San Francisco area sky.","10/23/13"
"9/7/13","21:30","Houston","TX","Circle","900","Large qrange/red circle appeares and disappears in the Houston sky.","9/9/13"
"9/7/13","21:00","Dayton","WA","Circle","1800","Orange and white orb shaped object north of Dayton Washington.","9/9/13"
"9/7/13","09:45","Montpelier","VT","Circle","120","Military jets were in close proximity to a single white colored UFO","9/30/13"
"9/5/13","23:00","Belgium","","Circle","6","Huge bright light in belgium moving over city TERNAT.","9/9/13"
"9/5/13","22:30","Shrewsbury","PA","Circle","120","Bright orange round light in sky moving slowly in a south to south west direction.","9/9/13"
"9/5/13","21:00","Emerald Isle","NC","Circle","120","Emerald Isle orange lights.","9/9/13"
"9/5/13","20:30","Cary","NC","Circle","2700","Bright glowing circular object south of Raleigh Durham Airport in Cary, NC.","9/9/13"
"9/5/13","20:25","Bellingham","MA","Circle","25","Large Red dot traveling north to south 3x plane beacon size.","9/9/13"
"9/5/13","20:00","Whittier","CA","Circle","300","2 Large round red pulsating objects in the sky appeared to be on fire.  Seen by 5 people in Whittier, CA.","9/9/13"
"9/5/13","19:00","Gallatin","TN","Circle","1800","Circular objects, bright, reflective, appearing then vanishing.","9/9/13"
"9/4/13","21:50","Sault Ste. Marie (Canada)","ON","Circle","300","Stationary, multicolored, circular moving lights, met by another object which raised to meet it and then it too displayed the lights.","9/9/13"
"9/4/13","21:00","Covington","GA","Circle","180","9 GLOWING BALLS CROSSING HIGHWAY 20 EAST BOUND.","9/9/13"
"9/3/13","22:44","Chittenango","NY","Circle","120","Small bright, colorful flashing objects seen in Chittenango, NY.","9/9/13"
"9/3/13","20:00","Mt. Airy","NC","Circle","2400","Huge bright circular object over Mt. Airy, NC...Surry County.","9/9/13"
"9/3/13","04:20","Barrhaven (Canada)","ON","Circle","300","I got up early as usual made a cup of tea and noticed how clear and bright the stars were then I saw this one star moving fast.","9/9/13"
"9/2/13","21:35","Lincoln City","OR","Circle","60","A round orange ball of light- looking like fire traveled north across the sky before fading in the distance. It seemed to be rotating a","9/9/13"
"9/2/13","19:00","Queen Creek","AZ","Circle","1200","UFO filmed over queen creek, az.","9/9/13"
"9/2/13","18:30","Mesa","AZ","Circle",NA,"Very bright light in north eastern sky. Larger then stars and smaller then moon.  ((NUFORC Note:  We suspect a star.  PD))","9/9/13"
"9/2/13","07:10","Peoria","AZ","Circle","120","LARGE CIRCULAR BRIGHT LIGHT AT DUSK IN ARIZONA","9/9/13"
"9/1/13","21:57","Bozrah","CT","Circle","60","Orange orb spotted over gardener lake dam.","9/9/13"
"9/1/13","21:19","Wakeman","OH","Circle","120","Viewed a bright orange round light in the night sky moving right to left and then up to dim or dissapeared.","9/9/13"
"8/31/13","22:20","Phoenix","NY","Circle","240","Eastbound orb.","9/9/13"
"8/31/13","21:30","Fairmont","WV","Circle",NA,"Crazy lol","9/9/13"
"8/31/13","21:29","Spruce Grove (Canada","AB","Circle","300","Was outside and noticed a first ball shaped going up from the ground and then disappeared as two others followed suit","9/9/13"
"8/31/13","21:10","Fort Atkinson","WI","Circle","300","Our 15yr old granddaughter  and her friend made me and my husband come outside to see this fire in the sky. It was round and looked lik","9/9/13"
"8/31/13","21:00","South Lincoln","VT","Circle","420","Three orange colored circular objects, S. Lincoln Vermont.","9/9/13"
"8/31/13","13:29","Beloit Township","WI","Circle","5","08-31-13   13:29  Round grey disc insight for 5 or 6 seconds.","9/9/13"
"8/31/13","11:30","Oakhill","WV","Circle","900","Aug. 31 13 lights over WV","9/9/13"
"8/30/13","22:00","Enola","PA","Circle",NA,"Blue, white, orange, and yellow flashing lights on an object that is moving/hovering in a slight circular motion.","9/9/13"
"8/30/13","21:25","Pacific City","OR","Circle","60","Orange hovering light moving slowly then rapidly then gone into thin air","9/9/13"
"8/30/13","21:15","Bristol","CT","Circle","900","Orange lights in the sky","9/9/13"
"8/30/13","04:00","Palmer","AK","Circle","900","Orange circles above Palmer.","8/30/13"
"8/30/13","01:00","Corpus Christi","TX","Circle",NA,"Light in sky never changed direction but did change colors red, green, blue.  ((NUFORC Note:  Twinkling star??  PD))","9/9/13"
"8/29/13","20:30","Newark","DE","Circle",NA,"Circle with lites","9/30/13"
"8/26/13","23:00","Dodge City","KS","Circle","3600","There was a light light that sat a over dodge city for at least an hour before vanishing completely. I was at the the Koch nitrogen ref","8/30/13"
"8/26/13","04:40","Greensboro","GA","Circle","420","Pulsating slow moving white light in northeast sky.","8/30/13"
"8/25/13","22:00","Moultrie","GA","Circle","120","I was helping my girlfriend with laundry out of car when I notice what looked like a star. I told her to look at the crept star and the","8/30/13"
"8/25/13","21:00","Worton","MD","Circle","120","Three fiery orbs travel in straight formation, alter formation slightly, then disappear, one at a time","8/30/13"
"8/25/13","20:30","Indianapolis","IN","Circle","30","Two whitish yellowish circular objects in nw sky.","8/30/13"
"8/24/13","22:40","Hickory Hills","IL","Circle","30","Round fireball passing through the sky of Hickory Hills Illinois","8/30/13"
"8/24/13","22:00","Claremont","NH","Circle","15","A large glowing object moves slowly then instantly disappears!","8/30/13"
"8/24/13","22:00","Fort Wayne","IN","Circle","1800","2 circle bright white objects seen by 8 witnesses.","8/30/13"
"8/24/13","21:35","Lisle","IL","Circle","120","08/24/13, 21:35, lisle, il, circle shaped object with red below, two minutes.","8/30/13"
"8/24/13","21:15","Hackensack","NJ","Circle","480","5 bright white lights seen over North Jersey.","8/30/13"
"8/24/13","21:15","Chatham","IL","Circle","120","My son and I looking to the North, saw 3 circular orangeish/red objects moving quick smooth pace, Easterly towards the West.  Objects w","8/30/13"
"8/24/13","21:05","Los Angeles","CA","Circle","30","Over North Hollywood CA,Aug 24, 2013 Round Glowing Object darts across the Los Angeles sky like a speeding lantern.","8/30/13"
"8/24/13","21:00","Janesville","WI","Circle","30","Orange glow with kinda yellowish tint on bottom.","8/30/13"
"8/24/13","21:00","New York City (Bronx)","NY","Circle","1200","50 bright lights move fast and stop","8/30/13"
"8/24/13","20:00","Kerville","TX","Circle","1800","Amber blinking large orb in woods then sky at secluded ranch in texas.","8/30/13"
"8/24/13","20:00","Bemus Point","NY","Circle","3600","Round white and red lighted object over Chautauqua Lake, August 24, 2013","8/30/13"
"8/24/13","17:00","Abington","PA","Circle","1200","Something small, circular and white very slowly moved from the north down the sky toward the flight paths to Philadelphia Airport.","8/30/13"
"8/24/13","01:00","Shaw","MS","Circle","7200","Looked Like A Low Star then dotted off over tree line","8/30/13"
"8/23/13","23:45","Marco Island","FL","Circle","600","Hovering and disappearing lights over Marco Island","8/30/13"
"8/23/13","22:47","Hamden","CT","Circle","1020","For several minutes we watched many red/orange objects fly slowly and low across the sky.","8/30/13"
"8/23/13","20:30","Johnstown","CO","Circle","10","3 white circle objects.","8/30/13"
"8/22/13","20:10","Winston-Salem","NC","Circle","60","Dark object going south below clouds with singular rotating light on the bottom","8/30/13"
"8/22/13","10:00","Fort Dodge","IA","Circle","10","Bright white light disapeered away from the earth.","8/30/13"
"8/21/13","13:00","Glen Rose","TX","Circle","300","Strange bright orb that looks like a second sun in the sky, but lower than the sun.","8/30/13"
"8/20/13","23:30","Waynesboro","VA","Circle","1500","Bright white light flying in circular motions over mountain.","8/30/13"
"8/20/13","22:20","Baltimore","MA","Circle","900","Looked and saw 3 orange lights, small dots in the east, in a triangle formation.  Went in to tell my family.  Came back out with two of","8/30/13"
"8/20/13","21:00","Bredenbury (Canada)","SK","Circle","60","Two orange fireballs seen over Bredenbury , Saskatchewan .","8/30/13"
"8/20/13","07:50","Ellsworth","ME","Circle","1800","Branch Lake UFO sightings. Circular crafts, with white flashing lights.","8/30/13"
"8/19/13","21:02","Rochester","WA","Circle","120","Observed object hovering at low altitude, spinning,and changing colors. in S.W. evening sky.","8/30/13"
"8/19/13","21:00","Kill Devil Hills","NC","Circle",NA,"Circular orbs launching to the sky.","8/30/13"
"8/19/13","21:00","Columbus (northwest part)","OH","Circle","30","Clear sky 9pm-Red Object traveling faster then any plane i ever eyewitnesses in the NE sky  35-40 secs. before &amp;quot; blinking out&amp;quot","8/30/13"
"8/18/13","21:45","Brandenton Beach","FL","Circle","300","Pulsing orange light disappears on vacation.","8/30/13"
"8/18/13","20:56","Rochester","WA","Circle","1080","I witnessed a circular craft hovering low in the southern sky,just before dark.","8/30/13"
"8/18/13","19:30","Temecula","CA","Circle","20","Saw A Circular Shiny Object Or Disk In The Sky","8/30/13"
"8/18/13","03:15","Paradise","MT","Circle","180","A large white object with sparks coming off it lit up the night sky before breaking into pieces.","8/30/13"
"8/18/13","03:00","Safford","AZ","Circle","120","Green hazy circular craft w/strange light pattern on craft.","8/30/13"
"8/17/13","22:05","Lowell","MA","Circle","90","Orange ball like burning ember moving in erratic pattern about 5000 feet","8/30/13"
"8/17/13","22:00","Danbury","CT","Circle","480","15-18 orange circular objects w/o sound moving from n to ne.","8/30/13"
"8/17/13","21:00","Sag Harbor","NY","Circle","1800","Orange light over Sag Harbor.","8/30/13"
"8/17/13","20:30","Gloucester","MA","Circle","180","We were in awe and wonder what did we see?","8/30/13"
"8/17/13","01:00","San Diego (Pacific Beach)","CA","Circle","300","Small circular orb moving in various directions silently while changing colors, Red,Purple,White,Green,and Blue over LaJolla San Diego,","8/30/13"
"8/16/13","22:20","Manson","WA","Circle","15","Very bright, round light appeared instantly and receded.","8/30/13"
"8/16/13","21:30","Fredericksburg","VA","Circle","480","Slow flashing light grew dim enough to reveal circular craft at the center with dimmer steady lights around outer rim.","8/30/13"
"8/16/13","21:15","Fenton","MO","Circle","20","Large bright orange craft.  Silent and flew by fast","9/30/13"
"8/16/13","08:00","Santa Clara","CA","Circle","180","Got out of car to stretch my back after dropping my wife off at work, where she runs a project as a program coordinator at the local co","9/30/13"
"8/16/13","00:00","West Union","WV","Circle","3600","A big ball was over our head and it did not seem from this world as i know?","10/23/13"
"8/15/13","22:30","Toronto (Canada)","ON","Circle","1200","Bright blue circular object over Downsview Ontario Canada","8/30/13"
"8/15/13","22:00","Cedar Grove","NC","Circle","15","Greenish circles right above the treeline.  As big as a car and moving together","8/30/13"
"8/15/13","21:58","Mission Viejo","CA","Circle","120","Object bright orange in color,no noise heard,moved slowly and became smaller and disappeared","8/30/13"
"8/13/13","23:00","Cannon Beach","OR","Circle","420","Dim white light went to a super white pulsed 3 blue luminated rings . after 30 seconds the lights retracted back tothe white light then","8/30/13"
