"Date","City","State","Shape","Duration","Summary","Poster"
2013-10-13,"Newark","TX","Circle","3 hours","Craft was low above trees circling lookin for something to pick up spraying white powder.","10/14/13"
2013-10-12,"Anderson","SC","Circle","20 seconds","3 orange balls of light, that jet off one at a time in different directions!","10/14/13"
2013-10-12,"Hiawassee","GA","Circle","15 minutes","We just witnessed an amazing event.  About ten different hovering light facing 20' north east of Hiawassee.  They were orange like and","10/14/13"
2013-10-12,"Koh Samui (Thailand)","","Circle","45 seconds","Bright orange sphere in nighttime sky in Thailand.","10/14/13"
2013-10-11,"Ankeny","IA","Circle","2 minutes","Two slow moving star-like objects suddenly accelerated to light speed heading towards Jupiter","10/14/13"
2013-10-10,"Savage","MN","Circle","1 minutes","I saw a sphere shaped object flying east to west moving faster than any conventional aircraft was white to orange in color as it reache","10/14/13"
2013-10-10,"Drexel","OH","Circle","5 minutes","Yellow/orange, sphere/circle that flew across night sky ,slow speeds then simply vanished , had no blinking lights, was not an airplane","10/14/13"
2013-10-10,"Kenner","LA","Circle","10 minutes","2 circle lights moving erratically over Kenner, La.","10/14/13"
2013-10-09,"St. Cloud","MN","Circle","15 seconds","I believe in aliens is just not them coming to earth.  I swear this was an ufo.","10/14/13"
2013-10-09,"Fort Lauderdale","FL","Circle","10","4 orange circle above me.","10/14/13"
2013-10-09,"Oltenita (Calarasi) (Romania)","","Circle","2 hours","Light on sky.","10/14/13"
2013-10-08,"St. Cloud","MN","Circle","1 hour","Orange colored circle low in sky.","10/14/13"
2013-10-08,"Natchez","MS","Circle","30 seconds","Very bright fast moving orb(s).","10/14/13"
2013-10-08,"Lockesberg","AR","Circle","00:45","Small round what light (dim sometimes).  Subtle movement at first then abrupt direction changes, zig zags, figure8 fade out of vision.","10/14/13"
2013-10-07,"Denver","CO","Circle","2 seconds","Blue/sphere of light.","10/14/13"
2013-10-07,"Oklahoma","OK","Circle","4 months","Bright flying orb.","10/14/13"
2013-10-05,"Carlow (Ireland)","","Circle","40","A weird sky very important.","10/14/13"
2013-10-05,"Oviedo","FL","Circle","30 seconds","A grid formation of 30 or 36 lights, no noise.","10/14/13"
2013-10-05,"Encinitas","CA","Circle","2 minutes","Glowing/pulsating orange light, moving quickly & erratically in San Diego, CA.","10/14/13"
2013-10-05,"Nashville","TN","Circle","30 seconds","Two bright star-ish lights moving parallel over Nashville sky.","10/14/13"
2013-10-05,"Longmont","CO","Circle","3 seconds","White object traveling very fast NW to SE.","10/23/13"
2013-10-05,"Staten Island","NY","Circle","2 seconds","Light streaks across Staten Island.","10/14/13"
2013-10-04,"Maryville","TN","Circle","1 minutes","Huge circular bright light.","10/14/13"
2013-10-04,"Madison","AL","Circle","5 minutes","Attached video.  Yes Not quality but it shows what was seen.  Don't laugh.","10/14/13"
2013-10-04,"South Point","OH","Circle","20 minutes","Dark spinning object seen after seeing 5 orange globes.","10/14/13"
2013-10-04,"Albuquerque","NM","Circle","10 minutes","Numerous blue white shimmering spheres moving rapidly from northwest to southeast over Albuquerque.","10/14/13"
2013-10-04,"Fairbanks","AK","Circle","10 minutes","Strange orange lights moving unnaturally across the sky.","10/14/13"
2013-10-04,"Millstone Township","NJ","Circle","1 minutes","UFO SIGHTING in NJ.","10/14/13"
2013-10-04,"Salt Lake City","UT","Circle","25 minutes","Starlike object that hovers and then slowly moves.","10/14/13"
2013-10-03,"Clarksville","AR","Circle","2 seconds","Solid orange circle/orb streaked through the night sky; no noise, tail, or glow","10/14/13"
2013-10-03,"Louisburg","NC","Circle","3 seconds","UFO sighted near Louisburg, NC moving north to south at a very high speed.","10/14/13"
2013-10-03,"Covington","VA","Circle","30 seconds","Blue/green light flashing on a round object over town.","10/14/13"
2013-10-03,"Rineyville","KY","Circle","did not see craft","Large black circles were found on the grass in our back yards.","10/3/13"
2013-10-03,"Rex","GA","Circle","15 minutes","Hovering craft near Rex Georgia.","10/3/13"
2013-10-02,"Fairfax Station","VA","Circle","20 seconds","Orangish yellow ball falls from sky.","10/3/13"
2013-10-02,"La Habra","CA","Circle",":10","Circled shape object vanishes near La Habra, CA.","10/3/13"
2013-10-02,"Upper Marlboro","MD","Circle","2 seconds","I was painting my house and was on a step ladder about 6 ft high and saw an orange light that looked like it was rotating vertically.","10/23/13"
2013-10-01,"Sneedville","TN","Circle","1.5 minutes","Large round bright white light moved away and upward for 1-1.5 min before completely disappearing.","10/3/13"
2013-10-01,"Bakersfield","CA","Circle","30 seconds","There was a metal looking star hovering several miles s/w of Bakersfield, Ca. my friend, girlfriend, and i were driving to the park an","10/3/13"
2013-09-29,"Mauritius Island (Mauritius)","","Circle","10","Around 9 at night it was reported with picture proof by many residents in the island of Mauritius. The object was white and circular wi","9/30/13"
2013-09-29,"Port Louis (Mauritius Island)","","Circle","15 minutes","Hi if you are reading this message some peoples and i have seen an object flying by our country and i have a foto and it is circulating","9/30/13"
2013-09-29,"Madison","WI","Circle","ongoing","Red lights coming into sky","9/30/13"
2013-09-29,"Newbury","VT","Circle","10 minutes","White Pulsating Light With Red","9/30/13"
2013-09-29,"Durban (South Africa)","","Circle","6 minutes","A round object in the sky with an aura of light around it moving very slowly across the sky. The object seemed as if it was in space an","9/30/13"
2013-09-29,"Maseru (Lesotho; South Africa)","","Circle","30 minutes","White disk seen in the sky over Lesotho and South Africa, that moved and beacame smaller and was seen by many people.","9/30/13"
2013-09-29,"Springboro","OH","Circle","3 minutes","3 bright yellow lights moving independently, disappearing and reappearing in western sky of SW OHIO","9/30/13"
2013-09-29,"Gunnison area","CO","Circle","45 minutes","Headed west on Highway 50.  About 16 miles east of Gunnison CO saw large circular white light to the S, headed W at about 60 mph.","9/30/13"
2013-09-29,"Clarksville","AR","Circle","2 seconds","Solid orange circle/orb flew by with no trail, sound, or glow.","10/14/13"
2013-09-28,"Ottawa (Canada)","ON","Circle","40 minutes","Large circle with web like  colored (red, green, blue, silver) lightning bolts inside","9/30/13"
2013-09-28,"Sunset Park","NY","Circle","unsure","Stationary white lights rotating erratically in a circular formation inside of a cloud.","9/30/13"
2013-09-28,"West Carrollton","OH","Circle","5 minutes","Bright light splits into two then four bright lights.","9/30/13"
2013-09-28,"Niagara Falls","NY","Circle","a minutes","Orange light circle seen by four people in Niagara Falls.","9/30/13"
2013-09-28,"Cleveland","OH","Circle","4 hours","Red and green orb.  ((NUFORC Note:  We suspect a sighting of Arcturus.  PD))","10/23/13"
2013-09-28,"Owls Head","NY","Circle","10 minutes","30 or so round red globs of light come uo from the northeast--5 at a time--over the tree line--then disappear.","9/30/13"
2013-09-28,"Athens","GA","Circle","5 minutes","Very bright light hovering above trees then shot off","9/30/13"
2013-09-27,"Shaker Heights","OH","Circle","1.5 seconds","Blue green round fireball appeared while my husband was walking the dog. It seemed to be at a distance but was quite large...seemed to","9/30/13"
2013-09-27,"Ozark","AR","Circle","2 seconds","Yellowish orange orb moving horizonally, low to the ground at a very high rate of speed with no sound, no tail","9/30/13"
2013-09-26,"North Myrtle Beach","SC","Circle","3 minutes","Large Orange Circles hovering and &quot;dancing&quot; in the sky - North Myrtle Beach","9/30/13"
2013-09-26,"North Myrtle Beach","SC","Circle","3 minutes","Fast moving, low altitude orange orb","9/30/13"
2013-09-26,"Conway","SC","Circle","47 seconds","Appears to be three red-orange independent objects with independent movement. White light much larger and simply vanised","9/30/13"
2013-09-26,"Longs","SC","Circle","30 seconds","3 glowing spheres going completing dark and appearing in opposite direction.","9/30/13"
2013-09-26,"Cincinnati","OH","Circle","3 minutes","Seen two orange fire balls rotating around each other with no sound and lasted for a few min Them the bright light vanished and the fle","9/30/13"
2013-09-25,"Three Forks","MT","Circle","45 minutes","Strange movement of circular lights.","9/30/13"
2013-09-24,"Fairbanks","AK","Circle","2 minutes","3 white orbs. 2 in front 1 behind.","9/30/13"
2013-09-23,"Neillsville","WI","Circle","Months","I’d like to get some opinions or input. For several months I’ve been seeing objects in the sky over Neillsville. At first I tho","9/30/13"
2013-09-22,"Rockville","MD","Circle","3 seconds","White fluorescent light color/dark circle in center/spherical shape/glimpse of it leaving orbit vanished leaving 2 lights behind it","9/30/13"
2013-09-22,"Warwick","RI","Circle","30 minutes","It looked like a star but moved in various directions.. that a plane could not do. we realized it was moving because it was between two","9/30/13"
2013-09-22,"Rio Rancho","NM","Circle","40 minutes","Bright white, round object in eastern sky seen from church doorway.","9/30/13"
2013-09-21,"Lawton","OK","Circle","","I saw a green and blue orb of light,circular falling in a straight line silently changing colors into the tree line so of Rogers n Sher","9/30/13"
2013-09-21,"Marine City","MI","Circle","20 minutes","At approximately 20:15 on September 21, 2013 we were traveling due West looking in the direction of Algonac Michigan when we noticed st","9/30/13"
2013-09-21,"Bettendorf","IA","Circle","30 minutes","No sound just bright light and movement faster than planes","9/30/13"
2013-09-21,"Milan","TN","Circle","3 minutes","Large elongated diamond formation of 15 silent red circle lights","9/30/13"
2013-09-20,"Latham","KS","Circle","1 hour","Flashing colors like ball that never moved.","9/30/13"
2013-09-19,"Auburn","WA","Circle","2.5 minutes","Quavering/shimmering red object near moon in east sky around 9:25 pm.","9/30/13"
2013-09-19,"Downingtown","PA","Circle","4 seconds","Very clear night it was a full moon. A round very bright ball of light moved very fast from west to east. It was lower than planes fly.","9/30/13"
2013-09-19,"Albuquerque","NM","Circle","15 minutes","Star like craft with wings just hovering in one spot in the sky, airplanes flying near it and dogs are barking like crazy.","9/30/13"
2013-09-19,"Pictou (Canada)","NS","Circle","95 seconds","Images on digital photos taken Sept 19th and just noted Oct 1st in squence and time stamped.  ((NUFORC Note:  Lens flare?  PD))","10/3/13"
2013-09-18,"Tucson","AZ","Circle","","Something strange over Tucson today.","9/30/13"
2013-09-18,"Ketchum","ID","Circle","1.5 minutes","Bright orange light in the sky over the Wood River Valley, Hailey Idaho","10/14/13"
2013-09-18,"Rochester","WA","Circle","20 minutes","Singular light seen low in evening sky near Rochester, WA.  ((NUFORC Note:  Venus??  PD))","9/30/13"
2013-09-18,"Silver spring","MD","Circle","2 minutes","Saw grey spherical craft in sky just sat still for abt 60 seconds. I took a picture then it disappeared.","9/30/13"
2013-09-17,"Riverside","CA","Circle","3 minutes","20-25 bright orange orbs in full moon night sky, formed a line and changed direction, then disappeared","9/30/13"
2013-09-17,"Newark","NJ","Circle","","Bright light on the sky look like a star behind Budweiser and near Newark international airport on 9/18/13 the i saw the same light nea","9/30/13"
2013-09-16,"Idaho Falls","ID","Circle","30 minutes","Round Ball Of Light Falling Like A Meter With No Tail Trailing Behind It. Disappeared From View (LandeD?) Near Craters Of The Moon Area","9/30/13"
2013-09-15,"East Los Angeles","CA","Circle","90+ minutes","A circular object hovering in the sky for 1-2 hours with red, green, and white flashing lights not going in any type of direction.","10/23/13"
2013-09-14,"O'Fallon","MO","Circle","5 minutes","About 10:40 pm CST my wife and i saw about 75 plus orange circular objects in the western sky moving slowly west. They were in a zig za","9/30/13"
2013-09-14,"Lafayette","IN","Circle","15 minutes","Cluster of multicolor stationary lights","9/30/13"
2013-09-14,"Meridian","ID","Circle","15 minutes","More than a dozen red lights travelling slowly towards North and then slowly together up in the sky","9/30/13"
2013-09-14,"Farmington","CT","Circle","15 minutes","15-20 similar objects with orange light (no sound) seen moving across night sky from west to south","9/30/13"
2013-09-14,"Chicago","IL","Circle","2 minutes","Red glowing lights over chicago chased by an airplane.","9/30/13"
2013-09-14,"Frederick","MD","Circle","5 minutes","8-12 orangish red circles floating in western sky, slowly disappeared","9/30/13"
2013-09-14,"Syracuse","NY","Circle","10 minutes","Seen 3 orange balls of light. They disappeared and then reappeared. We followed them for about a mile. I video taped it for up to 3 min","9/30/13"
2013-09-14,"Murray","KY","Circle","5 seconds","An orange ball, about the size of the moon appeared just above the tree line appear for a few sec.s then disappeared. The object did n","9/30/13"
2013-09-13,"Roswell","GA","Circle","15 seconds","As I was walking home from picking up something I had forgotten on the field I was playing on, I was looking at the sky and at first I","9/30/13"
2013-09-13,"Green Bay","WI","Circle","3 minutes","Red ball of light with orange glow gliding not far above tree line, then dis appears in sky.","10/3/13"
2013-09-13,"Winnipeg (Canada)","","Circle","2 minutes","Bright Yellow lights moving quickly across sky going northeast.  First one then another appeared within a minute of each other, we lost","9/30/13"
2013-09-12,"Pacoima","CA","Circle","00:00","Color changing object in north east  sky.","9/30/13"
2013-09-12,"New Delhi (India)","","Circle","3 seconds","An unexplained object which glowed like a star burst for few seconds.","9/30/13"
2013-09-11,"Emerald Isle","NC","Circle","50 minutes","Red and orange circular objects disappearing and reappearing.","9/30/13"
2013-09-11,"Gillette","WY","Circle","10 seconds","Strange craft flying above street lights.","9/30/13"
2013-09-11,"Sharpsburg","MD","Circle","1 hour","Orange color changing object","9/30/13"
2013-09-11,"Medina","OH","Circle","","Ball of fire.","9/30/13"
2013-09-10,"Beavercreek","OH","Circle","15","A round object with very bright red green and white lights was in the sky making left to right turns very fast, no noise and then disap","9/30/13"
2013-09-10,"Myrtle Beach","SC","Circle","2 minutes","On my last night vacationing on myrtle beach as i sat on the hotel balcony i saw orange circles appear over the ocean. They appeared an","9/30/13"
2013-09-09,"Vienna","VA","Circle","5 seconds","Saw a five gold lit cicular craft moving fastly from rght to left.","9/30/13"
2013-09-09,"Boise","ID","Circle","20 minutes","Boise, ID, spherical, 20 min, 10 red lights, seen by husband and wife.","9/30/13"
2013-09-07,"Petaluma","CA","Circle","10 seconds","Orange/white circle travels at alarming speed over San Francisco area.","9/9/13"
2013-09-07,"Manchester","NH","Circle","7 minutes","Circular green craft traveling in a repeated tight circle above cloudline.","9/9/13"
2013-09-07,"Pinery Provincial Park (Canada)","ON","Circle","10 minutes","At approximately 10:30 pm, sitting on the beach at the Pinery Provincial Park on September 7, 2013 enjoying the night sky, two women","9/30/13"
2013-09-07,"Candle Lake (Canada)","SK","Circle","3 minutes","Bright orange round light Candle Lake","9/30/13"
2013-09-07,"Coventry","RI","Circle","2 minutes","Driving on the road the car in front of me pulled to the sholder, I looked up to the sky to see 5 circular shaped lights in a crescent.","9/9/13"
2013-09-07,"Petaluma","CA","Circle","7 seconds","White/Orange sphere races across San Francisco area sky.","10/23/13"
2013-09-07,"Houston","TX","Circle","15 minutes","Large qrange/red circle appeares and disappears in the Houston sky.","9/9/13"
2013-09-07,"Dayton","WA","Circle","30 minutes","Orange and white orb shaped object north of Dayton Washington.","9/9/13"
2013-09-07,"Montpelier","VT","Circle","2 minutes","Military jets were in close proximity to a single white colored UFO","9/30/13"
2013-09-05,"Belgium","","Circle","6 seconds","Huge bright light in belgium moving over city TERNAT.","9/9/13"
2013-09-05,"Shrewsbury","PA","Circle","2 minutes","Bright orange round light in sky moving slowly in a south to south west direction.","9/9/13"
2013-09-05,"Emerald Isle","NC","Circle","2 minutes","Emerald Isle orange lights.","9/9/13"
2013-09-05,"Cary","NC","Circle","45 minutes","Bright glowing circular object south of Raleigh Durham Airport in Cary, NC.","9/9/13"
2013-09-05,"Bellingham","MA","Circle","25 seconds","Large Red dot traveling north to south 3x plane beacon size.","9/9/13"
2013-09-05,"Whittier","CA","Circle","5 minutes","2 Large round red pulsating objects in the sky appeared to be on fire.  Seen by 5 people in Whittier, CA.","9/9/13"
2013-09-05,"Gallatin","TN","Circle","30 minutes","Circular objects, bright, reflective, appearing then vanishing.","9/9/13"
2013-09-04,"Sault Ste. Marie (Canada)","ON","Circle","5 minutes","Stationary, multicolored, circular moving lights, met by another object which raised to meet it and then it too displayed the lights.","9/9/13"
2013-09-04,"Covington","GA","Circle","3 minutes","9 GLOWING BALLS CROSSING HIGHWAY 20 EAST BOUND.","9/9/13"
2013-09-03,"Chittenango","NY","Circle","2 minutes","Small bright, colorful flashing objects seen in Chittenango, NY.","9/9/13"
2013-09-03,"Mt. Airy","NC","Circle","40 minutes","Huge bright circular object over Mt. Airy, NC...Surry County.","9/9/13"
2013-09-03,"Barrhaven (Canada)","ON","Circle","5 minutes","I got up early as usual made a cup of tea and noticed how clear and bright the stars were then I saw this one star moving fast.","9/9/13"
2013-09-02,"Lincoln City","OR","Circle","60 seconds","A round orange ball of light- looking like fire traveled north across the sky before fading in the distance. It seemed to be rotating a","9/9/13"
2013-09-02,"Queen Creek","AZ","Circle","20 minutes","UFO filmed over queen creek, az.","9/9/13"
2013-09-02,"Mesa","AZ","Circle","hours","Very bright light in north eastern sky. Larger then stars and smaller then moon.  ((NUFORC Note:  We suspect a star.  PD))","9/9/13"
2013-09-02,"Peoria","AZ","Circle","2 minutes","LARGE CIRCULAR BRIGHT LIGHT AT DUSK IN ARIZONA","9/9/13"
2013-09-01,"Bozrah","CT","Circle","1 minutes","Orange orb spotted over gardener lake dam.","9/9/13"
2013-09-01,"Wakeman","OH","Circle","2 minutes","Viewed a bright orange round light in the night sky moving right to left and then up to dim or dissapeared.","9/9/13"
2013-08-31,"Phoenix","NY","Circle","4 minutes","Eastbound orb.","9/9/13"
2013-08-31,"Fairmont","WV","Circle","3","Crazy lol","9/9/13"
2013-08-31,"Spruce Grove (Canada","AB","Circle","5 minutes","Was outside and noticed a first ball shaped going up from the ground and then disappeared as two others followed suit","9/9/13"
2013-08-31,"Fort Atkinson","WI","Circle","5 minutes","Our 15yr old granddaughter  and her friend made me and my husband come outside to see this fire in the sky. It was round and looked lik","9/9/13"
2013-08-31,"South Lincoln","VT","Circle","7 minutes","Three orange colored circular objects, S. Lincoln Vermont.","9/9/13"
2013-08-31,"Beloit Township","WI","Circle","5 seconds","08-31-13   13:29  Round grey disc insight for 5 or 6 seconds.","9/9/13"
2013-08-31,"Oakhill","WV","Circle","15 minutes","Aug. 31 13 lights over WV","9/9/13"
2013-08-30,"Enola","PA","Circle","Several hours","Blue, white, orange, and yellow flashing lights on an object that is moving/hovering in a slight circular motion.","9/9/13"
2013-08-30,"Pacific City","OR","Circle","","Orange hovering light moving slowly then rapidly then gone into thin air","9/9/13"
2013-08-30,"Bristol","CT","Circle","15 minutes","Orange lights in the sky","9/9/13"
2013-08-30,"Palmer","AK","Circle","15 minutes","Orange circles above Palmer.","8/30/13"
2013-08-30,"Corpus Christi","TX","Circle","1:00","Light in sky never changed direction but did change colors red, green, blue.  ((NUFORC Note:  Twinkling star??  PD))","9/9/13"
2013-08-29,"Newark","DE","Circle","2.5 hours","Circle with lites","9/30/13"
2013-08-26,"Dodge City","KS","Circle","1 hour","There was a light light that sat a over dodge city for at least an hour before vanishing completely. I was at the the Koch nitrogen ref","8/30/13"
2013-08-26,"Greensboro","GA","Circle","7 minutes","Pulsating slow moving white light in northeast sky.","8/30/13"
2013-08-25,"Moultrie","GA","Circle","2 minutes","I was helping my girlfriend with laundry out of car when I notice what looked like a star. I told her to look at the crept star and the","8/30/13"
2013-08-25,"Worton","MD","Circle","2 minutes","Three fiery orbs travel in straight formation, alter formation slightly, then disappear, one at a time","8/30/13"
2013-08-25,"Indianapolis","IN","Circle","30 seconds","Two whitish yellowish circular objects in nw sky.","8/30/13"
2013-08-24,"Hickory Hills","IL","Circle","30 seconds","Round fireball passing through the sky of Hickory Hills Illinois","8/30/13"
2013-08-24,"Claremont","NH","Circle","15 seconds","A large glowing object moves slowly then instantly disappears!","8/30/13"
2013-08-24,"Fort Wayne","IN","Circle","30 minutes","2 circle bright white objects seen by 8 witnesses.","8/30/13"
2013-08-24,"Lisle","IL","Circle","2 minutes","08/24/13, 21:35, lisle, il, circle shaped object with red below, two minutes.","8/30/13"
2013-08-24,"Hackensack","NJ","Circle","8 minutes","5 bright white lights seen over North Jersey.","8/30/13"
2013-08-24,"Chatham","IL","Circle","2 minutes","My son and I looking to the North, saw 3 circular orangeish/red objects moving quick smooth pace, Easterly towards the West.  Objects w","8/30/13"
2013-08-24,"Los Angeles","CA","Circle","30 seconds","Over North Hollywood CA,Aug 24, 2013 Round Glowing Object darts across the Los Angeles sky like a speeding lantern.","8/30/13"
2013-08-24,"Janesville","WI","Circle","30 seconds","Orange glow with kinda yellowish tint on bottom.","8/30/13"
2013-08-24,"New York City (Bronx)","NY","Circle","20 minutes","50 bright lights move fast and stop","8/30/13"
2013-08-24,"Kerville","TX","Circle","30 minutes","Amber blinking large orb in woods then sky at secluded ranch in texas.","8/30/13"
2013-08-24,"Bemus Point","NY","Circle","1 hour","Round white and red lighted object over Chautauqua Lake, August 24, 2013","8/30/13"
2013-08-24,"Abington","PA","Circle","20 minutes","Something small, circular and white very slowly moved from the north down the sky toward the flight paths to Philadelphia Airport.","8/30/13"
2013-08-24,"Shaw","MS","Circle","2 hours","Looked Like A Low Star then dotted off over tree line","8/30/13"
2013-08-23,"Marco Island","FL","Circle","10 minutes","Hovering and disappearing lights over Marco Island","8/30/13"
2013-08-23,"Hamden","CT","Circle","17 minutes","For several minutes we watched many red/orange objects fly slowly and low across the sky.","8/30/13"
2013-08-23,"Johnstown","CO","Circle","10 seconds","3 white circle objects.","8/30/13"
2013-08-22,"Winston-Salem","NC","Circle","1 minutes","Dark object going south below clouds with singular rotating light on the bottom","8/30/13"
2013-08-22,"Fort Dodge","IA","Circle","10 seconds","Bright white light disapeered away from the earth.","8/30/13"
2013-08-21,"Glen Rose","TX","Circle","5 minutes","Strange bright orb that looks like a second sun in the sky, but lower than the sun.","8/30/13"
2013-08-20,"Waynesboro","VA","Circle","25 minutes","Bright white light flying in circular motions over mountain.","8/30/13"
2013-08-20,"Baltimore","MA","Circle","15 minutes","Looked and saw 3 orange lights, small dots in the east, in a triangle formation.  Went in to tell my family.  Came back out with two of","8/30/13"
2013-08-20,"Bredenbury (Canada)","SK","Circle","1 minutes","Two orange fireballs seen over Bredenbury , Saskatchewan .","8/30/13"
2013-08-20,"Ellsworth","ME","Circle","30 minutes","Branch Lake UFO sightings. Circular crafts, with white flashing lights.","8/30/13"
2013-08-19,"Rochester","WA","Circle","2 minutes","Observed object hovering at low altitude, spinning,and changing colors. in S.W. evening sky.","8/30/13"
2013-08-19,"Kill Devil Hills","NC","Circle","30","Circular orbs launching to the sky.","8/30/13"
2013-08-19,"Columbus (northwest part)","OH","Circle","30 seconds","Clear sky 9pm-Red Object traveling faster then any plane i ever eyewitnesses in the NE sky  35-40 secs. before &quot; blinking out&quot","8/30/13"
2013-08-18,"Brandenton Beach","FL","Circle","5 minutes","Pulsing orange light disappears on vacation.","8/30/13"
2013-08-18,"Rochester","WA","Circle","18 minutes","I witnessed a circular craft hovering low in the southern sky,just before dark.","8/30/13"
2013-08-18,"Temecula","CA","Circle","20 seconds","Saw A Circular Shiny Object Or Disk In The Sky","8/30/13"
2013-08-18,"Paradise","MT","Circle","3 minutes","A large white object with sparks coming off it lit up the night sky before breaking into pieces.","8/30/13"
2013-08-18,"Safford","AZ","Circle","2 minutes","Green hazy circular craft w/strange light pattern on craft.","8/30/13"
2013-08-17,"Lowell","MA","Circle","90 seconds","Orange ball like burning ember moving in erratic pattern about 5000 feet","8/30/13"
2013-08-17,"Danbury","CT","Circle","8 minutes","15-18 orange circular objects w/o sound moving from n to ne.","8/30/13"
2013-08-17,"Sag Harbor","NY","Circle","30 minutes","Orange light over Sag Harbor.","8/30/13"
2013-08-17,"Gloucester","MA","Circle","3 minutes","We were in awe and wonder what did we see?","8/30/13"
2013-08-17,"San Diego (Pacific Beach)","CA","Circle","5 minutes","Small circular orb moving in various directions silently while changing colors, Red,Purple,White,Green,and Blue over LaJolla San Diego,","8/30/13"
2013-08-16,"Manson","WA","Circle","15 seconds","Very bright, round light appeared instantly and receded.","8/30/13"
2013-08-16,"Fredericksburg","VA","Circle","8 minutes","Slow flashing light grew dim enough to reveal circular craft at the center with dimmer steady lights around outer rim.","8/30/13"
2013-08-16,"Fenton","MO","Circle","20 seconds","Large bright orange craft.  Silent and flew by fast","9/30/13"
2013-08-16,"Santa Clara","CA","Circle","3 minutes","Got out of car to stretch my back after dropping my wife off at work, where she runs a project as a program coordinator at the local co","9/30/13"
2013-08-16,"West Union","WV","Circle","1 hour","A big ball was over our head and it did not seem from this world as i know?","10/23/13"
2013-08-15,"Toronto (Canada)","ON","Circle","20 minutes","Bright blue circular object over Downsview Ontario Canada","8/30/13"
2013-08-15,"Cedar Grove","NC","Circle","15 seconds","Greenish circles right above the treeline.  As big as a car and moving together","8/30/13"
2013-08-15,"Mission Viejo","CA","Circle","2 minutes","Object bright orange in color,no noise heard,moved slowly and became smaller and disappeared","8/30/13"
2013-08-13,"Cannon Beach","OR","Circle","7 minutes","Dim white light went to a super white pulsed 3 blue luminated rings . after 30 seconds the lights retracted back tothe white light then","8/30/13"
