"","number_visit","number_posts","time_spend","new_friend","userid"
"278",5,0,7.20859337066621,1,278
"279",2,2,0.28839216610248,1,279
"282",4,4,1.48538991314831,2,282
"284",3,5,0.458752257425353,0,284
"286",2,0,3.18396171413931,1,286
"289",2,3,10.0300424933353,2,289
"291",3,2,6.8726966028042,0,291
"294",3,4,1.10793565696546,0,294
"297",2,0,2.06659158689055,2,297
"300",2,2,0.794590101745653,2,300
"301",2,0,0.425104638808599,1,301
"302",2,3,0.526060448505817,1,302
"303",2,2,0.817036175454124,0,303
"307",3,2,1.21631648199538,1,307
"309",1,1,1.22318276076866,2,309
"312",6,6,6.50415302513176,0,312
"314",2,2,8.29675410530182,1,314
"317",5,5,0.0682407530791619,0,317
"318",3,2,4.12090335036598,1,318
"323",1,3,1.5685501584254,1,323
"324",3,2,2.13132979647992,5,324
"325",2,1,1.23738782641228,1,325
"326",1,0,2.12142240700375,2,326
"327",2,2,5.48444943959785,1,327
"333",2,1,0.330564971710626,0,333
"337",1,1,1.7650665474375,2,337
"339",1,1,3.08114037204598,0,339
"342",5,5,0.563308255567151,3,342
"343",1,1,0.0253152816028493,1,343
"347",5,5,1.73398565078629,2,347
"348",3,1,4.75770127154959,2,348
"350",6,1,6.79868058146307,1,350
"351",1,1,4.64351022931532,1,351
"352",2,9,0.81783248877358,1,352
"355",1,0,3.92662260535519,1,355
"357",3,3,1.88755987182592,2,357
"362",1,0,2.52520650424095,2,362
"366",5,4,0.937504865977734,1,366
"368",3,3,3.45063428783962,1,368
"369",2,2,0.80637911024464,1,369
"371",1,5,2.03078672831785,1,371
"376",3,4,8.03367332038935,0,376
"377",4,4,0.719433350617496,1,377
"379",2,1,0.730763828321811,0,379
"381",2,1,0.50305507014836,0,381
"389",3,4,9.04532952286714,1,389
"393",2,1,2.12293444163314,1,393
"394",4,8,6.58886908265228,1,394
"401",4,9,4.59953661796817,0,401
"403",1,1,2.44869047990254,1,403
"404",3,3,4.43470699961757,1,404
"405",4,3,3.84649426990961,0,405
"406",2,2,12.4263794349588,3,406
"411",1,0,5.08014580626625,2,411
"416",1,2,0.0225948908219795,1,416
"417",3,4,1.51143679240004,0,417
"419",2,0,1.03889465263523,0,419
"424",5,12,3.66473888548025,1,424
"425",3,0,0.502500933436614,0,425
"426",2,0,0.461517332844332,2,426
"430",1,1,4.37476869329767,1,430
"432",4,9,0.618728443980217,1,432
"434",4,0,1.44251861443535,0,434
"435",4,4,5.57963816153822,0,435
"437",2,1,2.26495790629566,0,437
"441",2,3,2.51077655545884,2,441
"444",3,0,2.29954875651204,1,444
"446",3,6,4.78930968477972,2,446
"448",2,1,3.04237348193271,0,448
"449",1,5,0.377149408148683,1,449
"450",1,0,0.408462454546701,1,450
"451",3,2,2.21789468659507,1,451
"456",2,1,0.382464631274342,1,456
"457",1,3,0.0983440280532953,1,457
"458",2,5,1.59624508919089,1,458
"461",2,5,0.188736192423105,0,461
"462",1,0,2.46341880628407,0,462
"463",2,0,2.90913688416528,1,463
"466",1,0,0.420794105868935,0,466
"471",2,1,0.128666871676077,3,471
"472",1,0,2.77445835572109,0,472
"478",2,1,4.63036592729081,0,478
"479",2,2,1.11516675956964,2,479
"481",2,6,0.964860369120875,2,481
"485",6,9,0.39411148820625,0,485
"486",1,0,1.68479885675794,2,486
"487",3,2,3.13249717422934,0,487
"488",3,2,0.0523533502926952,1,488
"490",1,1,1.46740061508968,3,490
"493",3,2,0.0355115358862931,0,493
"495",3,6,3.13223778875927,0,495
"496",2,2,1.09447992165126,3,496
"500",2,0,3.25100996529756,1,500
"501",4,1,0.179822002814545,1,501
"502",2,3,3.2945090545861,2,502
"505",4,6,0.694792923842532,3,505
"506",1,1,1.03718762543571,0,506
"510",5,4,3.92263115382287,0,510
"515",1,1,6.06800197501222,1,515
"518",3,6,1.58966631842809,0,518
"519",2,0,2.35335504315425,1,519
"524",1,1,2.567835115138,1,524
"529",1,2,0.562566619024799,3,529
"530",1,1,0.814572684097592,2,530
"532",4,2,0.297391225244397,1,532
"533",1,1,6.37141004527391,2,533
"535",2,0,0.624289908231451,1,535
"536",5,4,0.242788006319266,1,536
"540",1,0,2.23516777278309,1,540
"541",1,3,0.785822158220301,1,541
"542",1,0,6.38858583939899,1,542
"547",2,1,1.21505556227767,2,547
"551",1,1,2.16823399591419,2,551
"555",3,6,1.87429362140906,0,555
"560",2,1,0.544014461431266,0,560
"562",4,2,1.99964166694163,0,562
"563",3,1,9.13510662074556,1,563
"564",2,1,0.0501772661261166,2,564
"567",3,3,0.131033574009607,1,567
"568",1,0,1.9461756692848,5,568
"572",4,4,0.492907498487512,1,572
"573",3,4,3.15636029368817,3,573
"574",1,1,2.20462089440337,0,574
"577",1,0,5.47470657923182,2,577
"579",1,2,2.787873771103,0,579
"581",2,2,3.43266068026173,0,581
"585",3,1,2.31013122335948,0,585
"586",3,2,1.40459836515668,1,586
"588",2,1,1.39015931488552,2,588
"594",2,2,5.63394877376443,0,594
"598",3,4,0.502657456154173,0,598
"600",4,0,4.40310251736131,2,600
"602",1,0,2.27279982509519,2,602
"606",1,1,0.0789607988688301,1,606
"607",4,2,5.07334760121523,0,607
"608",3,1,1.2355657215832,0,608
"612",4,4,0.766498934316138,2,612
"613",1,2,0.642988851986641,1,613
"616",1,0,1.87924260733399,0,616
"617",1,4,14.7592082423535,1,617
"623",1,0,0.676400012016911,1,623
"626",5,8,5.41558276707182,1,626
"627",1,1,0.0798674499924728,2,627
"629",3,5,3.5904529028005,1,629
"633",4,3,2.23288443909494,1,633
"634",1,1,3.62955965462541,3,634
"640",1,1,2.24533992626804,1,640
"641",3,6,5.47345950908097,0,641
"642",1,1,1.47199399299713,4,642
"644",2,1,0.223251976093946,1,644
"645",3,8,0.178358978448404,1,645
"647",3,3,2.21931288479732,0,647
"649",2,2,1.41453801824076,0,649
"650",4,0,0.943914597032434,4,650
"651",4,5,0.563444486934028,1,651
"653",1,1,0.806351274256707,1,653
"654",3,1,0.71761298902444,4,654
"656",3,2,1.56429082399866,1,656
"657",3,1,4.58110356532076,1,657
"658",3,4,2.77005820775622,2,658
"661",3,1,11.661783389662,1,661
"662",1,1,4.70106061774778,0,662
"668",2,3,1.46090547510051,1,668
"670",4,0,0.608418516966761,0,670
"672",1,1,1.74597510631316,0,672
"673",3,1,0.622197310196743,0,673
"674",4,6,0.478742907196283,1,674
"675",1,1,3.54270551241593,1,675
"677",3,4,0.121697023047581,1,677
"678",3,2,0.0346454436534387,0,678
"680",2,7,0.173751080101663,2,680
"681",3,6,2.25920691589072,1,681
"686",4,3,5.02293931458315,3,686
"687",3,4,0.0976018170766632,1,687
"688",3,2,3.01814232729494,0,688
"691",5,4,0.123076147958636,4,691
"694",2,2,1.15844194987814,0,694
"696",1,3,0.30455955821526,0,696
"697",1,0,0.205866286023097,1,697
"698",3,9,1.58730422309166,1,698
"699",6,5,1.34047179669142,1,699
"700",2,5,1.41547509957407,3,700
"708",2,1,3.24381424983494,1,708
"715",1,0,1.52136628963164,1,715
"720",3,7,4.51090455687458,1,720
"723",3,2,1.65811878143164,0,723
"725",6,1,1.65654661941523,2,725
"728",3,1,4.36036362000671,2,728
"729",3,1,2.51845382796705,2,729
"731",2,4,3.44467352836557,0,731
"733",2,6,4.77956883110709,0,733
"737",2,0,2.76377006237802,2,737
"745",6,7,4.28827937373915,1,745
"746",4,3,0.954124503483882,1,746
"747",5,3,0.411238190687659,2,747
"751",6,5,1.08999499407682,0,751
"753",1,1,2.46228693478095,3,753
"759",2,1,7.19609104561508,1,759
"761",1,0,3.58935225075108,0,761
"764",2,2,2.86891005585456,1,764
"768",2,1,0.962902639058166,0,768
"776",2,0,0.455095771605232,0,776
"779",2,0,0.673660836031332,3,779
"781",3,2,3.27268979772601,1,781
"783",1,2,0.246469782437592,2,783
"784",1,3,0.787977571352752,0,784
"786",4,9,1.02658572532176,1,786
"789",1,0,0.369616658698564,0,789
"793",3,3,1.02351093598337,1,793
"794",3,5,1.83173912090415,1,794
"801",3,5,4.9369750235458,2,801
"802",1,0,0.556089264396981,1,802
"804",1,0,2.13530241595753,2,804
"806",2,0,5.88366789029836,2,806
"807",3,4,4.49563809383007,0,807
"809",2,3,1.99378541027358,0,809
"810",4,6,3.39549285355039,0,810
"811",3,1,0.250032426709915,1,811
"813",1,0,8.93248311937979,4,813
"814",3,0,0.13325321011693,0,814
"816",4,4,6.90793473680566,1,816
"817",1,0,4.265287300048,0,817
"818",3,3,1.90337062472521,1,818
"820",2,1,0.842580066745635,0,820
"822",2,2,2.17190085406243,1,822
"823",4,4,0.300015084071673,0,823
"824",3,5,0.293500123703237,1,824
"827",3,2,0.592433492387358,0,827
"828",4,10,1.07525232561837,1,828
"830",2,0,0.414765628218953,2,830
"837",2,0,0.22305287111035,2,837
"840",1,1,2.33502807530222,1,840
"841",2,0,0.422664989496064,2,841
"846",1,2,5.55103155981973,1,846
"847",1,1,1.92044251818105,2,847
"849",2,3,0.661415280208912,0,849
"850",6,4,2.94632316973605,1,850
"851",1,1,0.689252440397057,1,851
"853",3,1,0.699277217829128,2,853
"854",4,2,0.884024164721108,0,854
"855",2,2,2.35953420121791,1,855
"858",1,2,1.88715130760005,0,858
"859",1,0,3.9910698518251,0,859
"863",3,3,5.47176247063759,1,863
"865",4,3,1.64849551134314,0,865
"866",4,5,0.654071068899198,1,866
"867",1,1,0.148577545415088,2,867
"868",3,1,1.9494653280758,0,868
"870",3,1,1.4924324940825,0,870
"873",4,1,3.13233139187584,1,873
"874",2,1,0.859801635272066,1,874
"876",5,8,1.22912114886881,0,876
"877",2,0,1.27069849446307,1,877
"878",1,1,0.793498862198875,1,878
"880",3,1,7.23787136513801,4,880
"884",1,1,5.29868726816254,4,884
"885",3,0,4.46156488697418,1,885
"886",1,0,2.20348689757563,0,886
"892",4,2,0.941530191801124,2,892
"893",2,1,5.4551625664872,0,893
"894",3,4,7.33180638730223,2,894
"895",3,2,0.459393427923067,0,895
"899",2,2,0.72341563220828,0,899
"902",1,0,0.797241285032272,0,902
"903",1,1,3.34793054180109,0,903
"905",3,10,6.33837114644559,1,905
"908",1,0,2.71051548490108,1,908
"909",2,3,1.1492247161902,0,909
"917",1,0,2.27144386861732,2,917
"928",2,6,0.284253261724244,2,928
"929",1,2,0.129580791658338,0,929
"930",1,3,3.28699552705879,3,930
"933",2,1,2.28539471211922,0,933
"937",1,1,2.61302524181537,3,937
"938",4,1,11.340411157129,1,938
"940",5,6,2.98100243996048,3,940
"942",1,0,5.50166412407646,2,942
"943",2,0,1.16899339030421,0,943
"947",3,1,4.72348769357996,1,947
"948",5,3,4.18192061634899,2,948
"949",6,6,2.05010725823043,1,949
"950",4,5,16.4239631712304,2,950
"951",2,0,2.51157154946394,0,951
"954",1,0,0.803770377860644,0,954
"955",5,3,0.269188991268024,1,955
"956",3,1,1.06451026660404,0,956
"959",2,2,2.00396460217825,0,959
"960",2,1,0.353863098610615,1,960
"961",6,4,6.72482925121158,2,961
"962",1,1,1.12884338537477,4,962
"965",2,0,4.5620578688518,3,965
"967",2,1,0.237645590311696,0,967
"969",2,2,3.74358088896606,2,969
"971",2,2,1.75825315416173,3,971
"972",2,0,6.20778772448441,0,972
"973",5,9,0.456649963734797,4,973
"975",3,5,0.0824702831924699,3,975
"977",10,10,5.05000052764583,2,977
"979",2,2,0.297054508597086,2,979
"983",2,1,2.47609307729789,2,983
"985",4,4,1.99306475336121,3,985
"986",1,0,0.0863637398572026,2,986
"993",1,0,0.0724097952303831,1,993
"994",1,0,2.39875728161798,1,994
"995",1,0,0.725116669593004,1,995
"999",2,4,0.832179615389562,2,999
"1000",2,3,1.57409162019514,0,1000
"1003",2,1,4.56572217086804,0,1003
"1004",2,0,1.07950552523967,0,1004
"1005",2,2,3.66577519682279,3,1005
"1006",4,4,0.494987779099452,2,1006
"1007",3,0,3.03212247926728,0,1007
"1008",5,2,2.75008630679318,1,1008
"1010",2,0,0.811096157471366,0,1010
"1011",4,5,1.40965156397845,4,1011
"1013",1,1,0.797696128243306,0,1013
"1014",2,1,5.15512471181113,1,1014
"1017",3,1,0.346299336477099,2,1017
"1018",5,7,2.42294104412225,1,1018
"1019",4,5,4.18047012579703,2,1019
"1022",1,2,0.327053810715315,1,1022
"1023",4,6,0.566396082956854,1,1023
"1025",2,0,2.04700400857978,1,1025
"1030",5,3,1.42045028806147,0,1030
"1032",1,0,4.29151985325272,0,1032
"1033",4,2,2.70131706985977,0,1033
"1036",3,4,0.0565218248150565,4,1036
"1037",4,3,0.247271153064909,2,1037
"1038",2,0,1.86350005272603,1,1038
"1039",1,0,0.823813572083369,0,1039
"1042",3,3,1.15680696909066,1,1042
"1044",1,2,0.263181357733581,0,1044
"1046",1,0,1.14859628830857,0,1046
"1052",2,1,7.91564282025353,1,1052
"1056",3,2,0.0379513778482273,0,1056
"1059",7,8,0.179897166678833,1,1059
"1064",2,1,0.170437075635338,2,1064
"1066",1,1,2.09603030493572,1,1066
"1067",3,2,1.06403724546445,0,1067
"1068",2,2,1.24819505876336,1,1068
"1071",3,4,1.38157504935677,1,1071
"1074",1,2,6.40321274957111,3,1074
"1075",3,2,1.14794307505036,1,1075
"1077",3,1,0.383120670068462,1,1077
"1080",2,1,0.697770290754058,1,1080
"1084",4,5,0.231882232055068,2,1084
"1085",1,0,0.760419314214861,1,1085
"1088",3,1,2.40923810516717,0,1088
"1093",1,0,2.15790649326348,0,1093
"1094",4,2,4.92074795796421,1,1094
"1102",2,5,1.57332325743023,0,1102
"1103",3,2,4.04731144013832,1,1103
"1105",1,0,0.10283472057713,0,1105
"1106",5,4,0.629990132647287,1,1106
"1107",2,1,0.665261346449862,1,1107
"1110",9,11,0.486228355478198,0,1110
"1112",5,1,0.447439532049843,3,1112
"1113",3,0,3.4731841231188,1,1113
"1114",2,3,0.869126085804988,0,1114
"1119",1,2,3.24599530706372,1,1119
"1120",2,0,2.49093724954722,1,1120
"1122",3,1,2.16500005230018,1,1122
"1124",6,1,1.01968934023794,0,1124
"1127",1,3,0.197019241259441,0,1127
"1128",4,6,3.53019476062196,1,1128
"1129",3,3,3.9387760467492,2,1129
"1131",3,1,4.25871118538311,1,1131
"1134",5,3,2.49711321877249,0,1134
"1139",3,0,3.25901619672686,1,1139
"1142",6,2,1.06672339398244,0,1142
"1143",1,0,0.29878252150452,1,1143
"1144",4,13,8.66872092900181,0,1144
"1147",2,0,1.59324209186841,2,1147
"1149",3,4,3.00602107960032,1,1149
"1151",2,0,3.13332954989897,1,1151
"1153",4,3,3.20492334087018,1,1153
"1154",3,5,0.548271296497701,1,1154
"1155",1,0,0.0489321378966943,1,1155
"1156",3,3,3.42516946694868,0,1156
"1159",2,5,4.08374563960547,0,1159
"1160",2,1,6.11721584943639,1,1160
"1163",2,3,0.830780507873571,1,1163
"1164",2,3,3.29348566231407,1,1164
"1169",4,3,1.27387111798398,3,1169
"1170",3,0,4.3607629614163,3,1170
"1178",3,8,0.268700136850909,0,1178
"1181",1,0,1.40672372412129,2,1181
"1185",1,2,2.22068515711048,0,1185
"1186",1,3,0.850250229822008,3,1186
"1187",4,4,4.67539865377672,2,1187
"1188",2,0,2.34098854308389,0,1188
"1190",8,9,1.01945253541169,1,1190
"1193",1,2,0.86175356246531,0,1193
"1195",3,7,4.08978787377377,1,1195
"1196",3,1,0.410905442964572,1,1196
"1200",1,1,0.213400194340182,0,1200
"1202",3,2,1.14403735199948,1,1202
"1203",5,8,0.993973533051946,0,1203
"1204",4,4,5.45148505580654,0,1204
"1208",2,3,0.49729687674546,1,1208
"1209",1,0,0.0670073411710536,1,1209
"1212",1,1,0.0287158657249823,1,1212
"1213",1,0,0.508039646176026,1,1213
"1214",1,0,3.60320439134341,1,1214
"1216",2,2,5.67403398813352,2,1216
"1217",1,0,0.615707092353555,1,1217
"1218",1,0,0.46106182909179,2,1218
"1219",2,2,8.91315727696263,0,1219
"1222",7,11,0.874964189724135,2,1222
"1224",4,3,2.84833570849769,0,1224
"1226",1,6,6.97609753524787,0,1226
"1227",2,1,1.76448738981103,2,1227
"1229",1,0,4.61401422378795,1,1229
"1230",3,4,3.62555271177892,0,1230
"1231",1,3,0.495760865855827,0,1231
"1232",2,1,1.38666586948471,1,1232
"1236",4,2,0.309028258281792,1,1236
"1237",3,6,0.269815989854661,2,1237
"1239",1,0,0.290627448927038,1,1239
"1241",3,3,5.49335079397881,1,1241
"1242",3,4,6.39211183353116,3,1242
"1244",3,0,0.233634351697915,0,1244
"1245",1,4,0.332902538433769,0,1245
"1247",2,1,1.06858389184893,8,1247
"1251",3,2,0.122386600391649,2,1251
"1254",5,2,1.80245485946457,1,1254
"1255",1,0,3.13592583944075,1,1255
"1256",1,0,6.20414821114325,1,1256
"1257",8,9,1.9853189149168,2,1257
"1259",2,1,2.21197026315384,1,1259
"1261",4,10,0.31927707849874,3,1261
"1262",4,3,1.87858556349924,1,1262
"1263",4,4,0.222971261224963,1,1263
"1264",3,2,0.136572827438675,1,1264
"1265",2,0,0.841667297867354,0,1265
"1266",4,0,0.383017441039896,1,1266
"1267",2,3,1.36106240773087,0,1267
"1270",1,1,1.34532576177082,0,1270
"1273",4,5,0.501749312028843,0,1273
"1274",1,0,2.15407833990733,0,1274
"1275",4,0,4.05510556048417,0,1275
"1278",1,1,4.21125457320147,2,1278
"1279",6,5,2.21391651281106,0,1279
"1280",1,0,0.469872757818893,0,1280
"1281",1,2,2.15665071760216,1,1281
"1284",1,0,0.147858788990392,2,1284
"1286",3,3,0.130452333425679,4,1286
"1287",2,4,5.0807977998041,0,1287
"1288",1,0,0.30689857046408,0,1288
"1289",2,2,3.40945022942734,0,1289
"1296",3,3,1.14779403674697,3,1296
"1297",5,0,2.07394212564304,0,1297
"1299",1,0,3.31344961220269,0,1299
"1300",2,1,0.282388440804446,1,1300
"1301",4,3,2.68285342343479,2,1301
"1302",4,3,0.391176515706067,0,1302
"1306",2,1,1.28582936721696,0,1306
"1307",3,5,2.07211724922111,1,1307
"1310",1,1,2.18590784682989,1,1310
"1312",1,2,3.77793495235188,0,1312
"1314",2,4,1.04351430697476,0,1314
"1318",1,0,1.30395737012948,1,1318
"1323",1,1,6.03792869923099,1,1323
"1326",3,4,0.828164287166303,2,1326
"1329",8,17,6.52025547752087,2,1329
"1330",2,2,3.52055501799687,1,1330
"1334",3,5,0.323234844724743,0,1334
"1335",4,2,1.60075463068841,2,1335
"1336",1,1,2.89363478045411,1,1336
"1337",2,0,2.05264877843321,0,1337
"1341",2,1,1.03964863855349,3,1341
"1343",4,3,5.12905222395796,0,1343
"1344",2,1,0.184773301659586,2,1344
"1346",1,2,5.51165432824801,1,1346
"1347",3,0,2.01703833474456,2,1347
"1348",5,8,0.866170975416396,1,1348
"1349",2,2,2.43030938837671,0,1349
"1351",1,0,2.12185770113154,2,1351
"1355",3,5,3.27610366641337,1,1355
"1358",5,5,6.86123676506786,0,1358
"1360",3,3,1.24334969111976,1,1360
"1361",4,2,0.574313727580011,0,1361
"1362",1,2,2.46438658150172,1,1362
"1363",3,4,0.702193684503436,0,1363
"1364",5,7,3.68820751938105,0,1364
"1365",2,0,1.32431416670119,3,1365
"1369",2,1,0.0678878879383255,1,1369
"1371",3,8,5.10604242371875,1,1371
"1378",2,1,2.62889898507054,0,1378
"1381",2,3,2.09895099824611,3,1381
"1382",3,1,2.31953119078177,2,1382
"1384",2,1,0.134263912446292,1,1384
"1385",4,2,2.30536704184791,2,1385
"1389",2,1,0.61126163951176,1,1389
"1394",6,3,2.04572570906269,0,1394
"1397",7,8,1.56020848550875,3,1397
"1399",3,3,4.0932257630404,1,1399
"1402",2,4,1.45750748247131,1,1402
"1403",2,0,0.906043861223304,0,1403
"1404",4,1,2.00825102991803,0,1404
"1411",3,2,2.74213044433724,1,1411
"1412",1,0,0.0729771691683928,2,1412
"1413",1,0,5.17887099267044,0,1413
"1414",3,0,3.28631375107411,0,1414
"1415",1,0,4.12200345252985,0,1415
"1419",1,0,3.96837635080673,1,1419
"1421",4,6,7.16197452053685,0,1421
"1422",6,9,1.6183204118302,1,1422
"1425",1,1,0.170273382939181,2,1425
"1428",2,0,1.46134364913486,1,1428
"1430",7,14,3.96164779491278,1,1430
"1434",3,1,2.06302996433848,1,1434
"1436",2,4,0.395871637325254,4,1436
"1437",3,5,4.11831903600119,0,1437
"1441",3,3,1.15369425041916,0,1441
"1443",4,0,1.75069176756098,2,1443
"1445",3,2,4.37340247647959,2,1445
"1446",6,7,0.878027548670461,1,1446
"1447",3,3,5.11306668436258,1,1447
"1451",3,8,1.00831259934999,0,1451
"1453",2,5,1.96648730231457,1,1453
"1454",2,2,0.817906179416918,1,1454
"1457",2,5,0.0881006542924447,1,1457
"1458",4,2,4.1740283629096,0,1458
"1459",2,1,2.215870946079,1,1459
"1462",5,4,2.63733593089338,1,1462
"1465",4,6,1.78646603022464,4,1465
"1466",2,4,5.92373558703634,0,1466
"1467",3,2,0.927258393913508,1,1467
"1470",1,0,2.71187361820747,2,1470
"1472",3,2,1.71762258524206,0,1472
"1475",1,0,1.38543183154099,0,1475
"1477",2,3,4.65890828587233,1,1477
"1479",3,5,0.9878862127313,1,1479
"1482",6,5,3.85786735447526,1,1482
"1483",6,7,0.240244720572452,1,1483
"1484",2,5,0.355755653488324,2,1484
"1486",1,3,0.893124859667458,2,1486
"1490",2,0,1.05991989319475,1,1490
"1491",2,2,1.50828604807453,2,1491
"1493",1,2,0.81746373715261,1,1493
"1496",3,2,1.82189644155297,1,1496
"1497",1,0,5.86584068788768,2,1497
"1500",3,3,1.43110518554207,0,1500
"1503",2,1,2.12112331766119,1,1503
"1505",4,8,0.176714211079488,0,1505
"1507",1,1,1.2375420707366,0,1507
"1508",1,0,5.35716396053459,0,1508
"1511",5,1,1.92157830246739,0,1511
"1513",4,5,3.28953663607626,0,1513
"1520",2,0,0.535113088703949,0,1520
"1523",1,1,1.34825178406068,1,1523
"1524",1,0,3.33658978597785,0,1524
"1525",1,1,6.29455424164295,2,1525
"1526",6,6,5.01606991885054,1,1526
"1527",8,9,1.05194987584721,0,1527
"1533",3,7,3.96005498576827,2,1533
"1537",1,1,0.756272123522018,3,1537
"1541",2,3,0.00280207599967979,2,1541
"1542",3,1,0.956228041203222,2,1542
"1543",3,2,2.06861690599976,1,1543
"1548",2,2,2.17444096377122,0,1548
"1555",2,3,0.299795681590817,2,1555
"1564",3,2,0.83828345830514,2,1564
"1565",4,1,0.268207081284169,1,1565
"1567",2,3,0.217342004874573,4,1567
"1568",3,2,6.51562732167879,0,1568
"1569",3,4,1.59255794554092,0,1569
"1574",3,2,2.57136540654714,0,1574
"1575",6,3,0.609371137251716,1,1575
"1576",1,1,0.530386699823774,1,1576
"1587",1,2,4.72567673000018,1,1587
"1588",2,3,0.124756315141691,4,1588
"1590",1,2,1.07534940860101,1,1590
"1592",2,2,0.618399608517522,0,1592
"1593",8,10,3.72014033920685,1,1593
"1594",1,0,2.57001535079112,1,1594
"1596",5,14,0.468537369910361,0,1596
"1601",1,0,3.43816269558565,0,1601
"1603",5,2,1.09756426901777,3,1603
"1605",5,2,2.77370695117861,20,1605
"1606",4,3,3.91816549288723,1,1606
"1607",1,0,1.75195874339807,0,1607
"1609",1,0,1.90657454894694,1,1609
"1611",3,3,1.0921334875909,0,1611
"1613",2,1,5.0912184628774,1,1613
"1616",3,3,0.866990507253862,2,1616
"1619",1,1,3.92509039081328,0,1619
"1622",1,0,0.196829985482181,0,1622
"1623",6,8,0.473013799843401,3,1623
"1625",2,1,3.77861542752226,0,1625
