,age,gender,relation_status,hometown,living,perference,total_action,sign_up,last_login,userid
142,20,0,4,5,5,5,346,2013-01-09,2013-10-07,142
143,23,0,2,1,1,3,94,2013-04-09,2013-10-07,143
144,22,0,1,2,3,2,339,2013-03-10,2013-10-07,144
145,9,1,1,5,6,5,68,2013-02-07,2013-10-06,145
146,13,1,1,2,2,2,209,2013-04-09,2013-10-07,146
147,9,1,2,2,2,3,111,2013-04-09,2013-10-07,147
148,23,1,1,2,3,1,242,2012-09-11,2013-10-07,148
149,21,1,2,2,2,4,219,2013-03-10,2013-10-07,149
150,20,1,2,1,2,1,168,2013-02-07,2013-10-06,150
151,22,1,1,2,2,4,227,2013-01-09,2013-10-07,151
152,24,1,1,3,3,1,197,2013-03-10,2013-10-07,152
153,20,0,2,5,5,6,336,2010-12-21,2013-10-07,153
154,19,1,2,1,1,1,165,2013-04-09,2013-10-07,154
155,26,0,2,1,1,2,93,2013-04-08,2013-10-06,155
156,23,0,2,3,3,2,218,2013-02-08,2013-10-07,156
157,16,0,1,5,5,3,223,2013-02-08,2013-10-07,157
158,22,1,1,1,1,2,160,2011-05-20,2013-10-07,158
159,21,1,1,6,6,3,160,2013-03-09,2013-10-06,159
160,9,0,2,6,6,3,159,2013-02-08,2013-10-07,160
161,25,1,2,6,6,4,184,2013-02-08,2013-10-07,161
162,23,1,1,2,2,2,382,2013-03-09,2013-10-06,162
163,36,1,4,3,4,2,62,2013-03-08,2013-10-05,163
164,20,0,2,6,6,6,165,2012-10-11,2013-10-07,164
165,26,0,1,1,1,2,309,2013-04-09,2013-10-07,165
166,22,0,2,6,6,6,1930,2013-10-03,2013-10-07,166
167,23,0,2,1,2,2,11,2013-03-10,2013-10-07,167
168,24,0,1,2,2,2,120,2013-03-10,2013-10-07,168
169,21,1,4,2,2,2,131,2012-09-11,2013-10-07,169
170,21,1,2,1,1,5,111,2009-12-26,2013-10-07,170
171,21,1,1,3,3,3,455,2012-11-10,2013-10-07,171
172,20,1,1,4,4,4,369,2012-02-12,2013-10-05,172
173,16,1,1,5,5,6,173,2013-03-10,2013-10-07,173
174,21,1,2,1,1,3,276,2012-03-15,2013-10-07,174
175,22,0,2,6,6,2,153,2013-03-09,2013-10-06,175
176,19,0,4,1,1,3,85,2012-12-10,2013-10-07,176
177,26,1,2,3,4,3,277,2013-03-10,2013-10-07,177
178,9,0,1,2,2,5,346,2013-04-09,2013-10-07,178
179,29,1,2,5,6,6,182,2013-03-10,2013-10-07,179
180,27,0,3,6,1,4,59,2013-03-10,2013-10-07,180
181,15,0,1,5,5,4,318,2013-03-09,2013-10-06,181
182,18,0,1,4,5,6,119,2012-10-10,2013-10-06,182
183,14,1,1,4,4,6,34,2013-04-09,2013-10-07,183
184,22,1,2,2,2,1,1020,2012-12-10,2013-10-07,184
185,19,0,1,6,1,2,182,2012-10-11,2013-10-07,185
186,16,1,2,5,5,4,26,2013-02-06,2013-10-05,186
187,17,0,2,4,5,3,175,2013-04-08,2013-10-06,187
188,21,0,1,6,6,5,316,2012-06-13,2013-10-07,188
189,28,1,1,4,5,6,388,2013-04-09,2013-10-07,189
190,13,1,1,6,6,2,181,2013-04-09,2013-10-07,190
191,19,1,1,6,6,5,301,2010-11-21,2013-10-07,191
192,16,0,2,3,4,2,102,2013-03-10,2013-10-07,192
193,25,0,1,3,3,2,244,2013-02-08,2013-10-07,193
194,15,1,2,5,6,4,44,2013-04-09,2013-10-07,194
195,14,1,2,2,3,5,394,2013-04-09,2013-10-07,195
196,18,0,2,2,2,2,172,2013-02-08,2013-10-07,196
197,20,1,2,2,2,3,314,2012-06-13,2013-10-07,197
198,19,1,4,3,4,2,143,2013-03-10,2013-10-07,198
199,27,0,4,1,2,2,129,2013-04-09,2013-10-07,199
200,13,1,1,5,5,6,102,2013-03-10,2013-10-07,200
201,18,0,4,5,6,2,204,2013-02-07,2013-10-06,201
202,14,1,1,2,2,1,288,2013-04-09,2013-10-07,202
203,21,0,4,4,5,4,203,2013-03-10,2013-10-07,203
204,26,1,3,4,4,4,110,2013-04-09,2013-10-07,204
205,28,1,4,5,6,4,123,2013-04-08,2013-10-06,205
206,14,1,1,2,2,2,131,2013-03-10,2013-10-07,206
207,21,0,4,5,6,6,306,2011-05-20,2013-10-07,207
208,16,0,1,1,2,2,222,2013-03-10,2013-10-07,208
209,18,1,1,3,4,1,100,2013-02-07,2013-10-06,209
210,26,0,3,3,3,5,184,2013-04-09,2013-10-07,210
211,15,0,1,6,6,6,316,2013-04-09,2013-10-07,211
212,19,0,2,1,1,2,221,2013-01-09,2013-10-07,212
213,20,0,1,1,2,1,624,2013-04-09,2013-10-07,213
214,23,0,3,3,3,2,135,2013-02-07,2013-10-06,214
215,25,0,1,4,4,3,84,2013-03-09,2013-10-06,215
216,23,0,4,2,2,4,366,2013-02-07,2013-10-06,216
217,34,1,4,1,1,1,225,2013-04-09,2013-10-07,217
218,19,0,1,4,4,3,242,2011-08-18,2013-10-07,218
219,21,1,2,3,3,2,193,2010-11-21,2013-10-07,219
220,22,0,1,1,1,1,125,2011-06-19,2013-10-07,220
221,27,0,2,5,5,4,290,2011-11-16,2013-10-07,221
222,25,1,1,5,5,4,122,2013-03-10,2013-10-07,222
223,18,1,2,1,2,3,195,2013-02-07,2013-10-06,223
224,20,0,4,2,2,1,181,2013-05-09,2013-10-07,224
225,31,1,4,3,3,1,105,2013-03-09,2013-10-06,225
226,38,1,1,4,4,2,273,2013-04-07,2013-10-05,226
227,13,0,2,1,1,3,138,2013-03-10,2013-10-07,227
228,22,0,1,2,2,3,363,2013-04-09,2013-10-07,228
229,15,1,2,6,6,6,108,2013-02-08,2013-10-07,229
230,14,1,2,5,5,4,151,2013-03-10,2013-10-07,230
231,15,1,2,2,2,6,277,2013-04-09,2013-10-07,231
232,41,0,4,6,1,1,213,2013-04-09,2013-10-07,232
233,22,1,2,2,2,1,111,2012-04-14,2013-10-07,233
234,18,0,4,5,5,6,281,2012-04-14,2013-10-07,234
235,13,0,2,1,1,2,201,2013-03-09,2013-10-06,235
236,45,1,1,2,2,1,168,2013-04-08,2013-10-06,236
237,18,0,1,4,4,4,502,2012-04-14,2013-10-07,237
238,20,1,1,6,6,6,134,2012-01-14,2013-10-06,238
239,22,0,1,1,2,2,88,2012-12-10,2013-10-07,239
240,12,1,1,2,3,5,189,2013-02-08,2013-10-07,240
241,16,1,4,5,5,2,111,2013-03-09,2013-10-06,241
242,13,0,1,2,2,2,105,2013-04-09,2013-10-07,242
243,13,1,1,3,3,2,79,2013-05-08,2013-10-06,243
244,22,0,2,4,4,3,321,2013-02-07,2013-10-06,244
245,32,1,4,6,6,1,148,2013-04-09,2013-10-07,245
246,19,0,1,1,1,2,341,2011-02-19,2013-10-07,246
247,16,1,2,2,2,2,142,2013-03-10,2013-10-07,247
248,12,0,1,1,1,2,88,2013-04-09,2013-10-07,248
249,24,0,2,3,3,2,102,2013-03-10,2013-10-07,249
250,21,1,4,6,6,2,157,2012-05-13,2013-10-06,250
251,17,0,2,6,6,6,56,2012-12-05,2013-10-02,251
252,22,0,2,3,3,3,83,2013-04-09,2013-10-07,252
253,21,0,4,4,4,2,199,2012-07-13,2013-10-07,253
254,13,1,4,3,4,3,319,2013-04-07,2013-10-05,254
255,10,1,2,3,3,3,640,2013-10-06,2013-10-07,255
256,19,0,1,5,5,6,137,2012-02-13,2013-10-06,256
257,16,0,1,4,4,5,137,2013-02-08,2013-10-07,257
258,10,0,1,4,5,2,350,2013-04-09,2013-10-07,258
259,23,1,1,4,4,5,93,2013-04-09,2013-10-07,259
260,50,0,4,4,4,6,131,2013-06-08,2013-10-07,260
261,18,0,4,1,1,4,200,2012-10-11,2013-10-07,261
262,19,1,1,4,4,4,137,2009-12-26,2013-10-07,262
263,22,1,2,5,6,5,327,2012-09-11,2013-10-07,263
264,22,1,1,5,5,6,95,2013-04-09,2013-10-07,264
265,20,0,1,6,6,6,112,2009-11-25,2013-10-06,265
266,25,1,2,2,2,1,118,2013-02-08,2013-10-07,266
267,24,0,1,4,4,2,151,2012-12-09,2013-10-06,267
268,29,1,2,2,3,3,105,2013-03-09,2013-10-06,268
269,38,1,4,1,1,3,68,2013-06-08,2013-10-07,269
270,19,0,2,1,2,3,260,2012-10-11,2013-10-07,270
271,10,1,1,6,6,3,85,2012-11-09,2013-10-06,271
272,31,1,4,1,2,2,142,2013-05-09,2013-10-07,272
273,17,1,1,4,4,4,51,2013-02-05,2013-10-04,273
274,25,1,3,6,1,5,92,2013-02-08,2013-10-07,274
275,10,0,2,4,4,6,138,2013-01-08,2013-10-06,275
276,27,0,3,4,4,6,141,2013-04-09,2013-10-07,276
277,36,1,4,6,6,5,267,2013-03-10,2013-10-07,277
278,25,0,1,3,3,1,550,2013-03-10,2013-10-07,278
279,20,0,1,6,6,4,186,2012-08-12,2013-10-07,279
280,24,0,2,1,1,6,45,2013-04-09,2013-10-07,280
281,28,0,4,6,6,4,75,2013-03-09,2013-10-06,281
282,23,1,2,6,6,6,213,2013-03-09,2013-10-06,282
283,20,0,1,4,4,4,334,2013-03-10,2013-10-07,283
284,17,1,2,6,6,5,137,2011-09-16,2013-10-06,284
285,20,1,2,1,2,5,481,2012-12-10,2013-10-07,285
286,18,1,2,6,6,5,541,2012-06-13,2013-10-07,286
287,39,1,4,2,2,2,93,2013-05-08,2013-10-06,287
288,14,1,2,3,3,5,122,2013-04-09,2013-10-07,288
289,20,1,2,1,1,1,281,2012-07-13,2013-10-07,289
290,45,0,1,2,2,3,29,2010-09-20,2013-10-05,290
291,45,1,4,1,1,5,239,2013-04-09,2013-10-07,291
292,39,0,1,6,6,4,73,2013-05-07,2013-10-05,292
293,42,1,4,6,6,6,95,2013-04-08,2013-10-06,293
294,26,1,4,3,3,3,99,2013-04-08,2013-10-06,294
295,40,1,4,1,1,4,23,2013-04-09,2013-10-07,295
296,30,0,1,3,3,3,94,2013-05-07,2013-10-05,296
297,10,0,1,4,4,4,59,2013-04-06,2013-10-04,297
298,12,0,2,1,2,3,37,2013-05-09,2013-10-07,298
299,38,0,4,6,6,6,54,2013-04-09,2013-10-07,299
300,24,0,2,4,5,4,169,2013-04-09,2013-10-07,300
301,25,0,2,3,3,3,256,2013-02-08,2013-10-07,301
302,36,1,4,6,6,4,248,2013-04-09,2013-10-07,302
303,13,1,1,1,2,1,36,2013-02-08,2013-10-07,303
304,28,0,4,4,4,6,162,2013-05-09,2013-10-07,304
305,48,0,4,2,2,6,107,2013-05-09,2013-10-07,305
306,23,0,1,1,1,3,25,2013-04-08,2013-10-06,306
307,13,1,2,1,1,2,109,2013-05-09,2013-10-07,307
308,20,1,4,4,4,3,36,2013-02-07,2013-10-06,308
309,26,1,1,2,2,1,76,2013-04-07,2013-10-05,309
310,15,1,4,1,2,3,62,2013-01-09,2013-10-07,310
311,31,1,4,2,2,1,122,2013-03-10,2013-10-07,311
312,19,0,2,4,4,5,362,2011-04-20,2013-10-07,312
313,44,1,4,3,3,1,94,2013-04-09,2013-10-07,313
314,18,1,2,5,5,6,481,2012-12-09,2013-10-06,314
315,21,0,1,6,6,4,349,2012-06-13,2013-10-07,315
316,21,1,2,1,1,1,84,2013-04-09,2013-10-07,316
317,22,1,2,3,3,3,600,2012-11-10,2013-10-07,317
318,23,1,1,1,2,1,135,2013-03-06,2013-10-03,318
319,24,1,4,1,1,1,122,2013-03-10,2013-10-07,319
320,28,0,3,3,4,3,40,2013-04-07,2013-10-05,320
321,20,0,4,1,1,3,216,2012-03-13,2013-10-05,321
322,25,0,2,6,1,1,323,2013-03-10,2013-10-07,322
323,40,0,1,6,6,2,66,2013-04-09,2013-10-07,323
324,22,0,2,1,1,3,231,2013-03-10,2013-10-07,324
325,27,0,2,5,5,1,266,2013-02-08,2013-10-07,325
326,12,1,1,1,1,1,174,2013-05-08,2013-10-06,326
327,28,1,1,4,4,5,82,2013-03-10,2013-10-07,327
328,19,0,1,5,5,6,184,2013-01-09,2013-10-07,328
329,50,0,4,4,5,5,241,2013-05-08,2013-10-06,329
330,14,1,4,6,1,6,105,2013-04-08,2013-10-06,330
331,17,0,1,6,1,5,249,2013-01-07,2013-10-05,331
332,21,1,1,6,1,5,206,2011-08-17,2013-10-06,332
333,18,0,4,5,5,3,258,2012-12-10,2013-10-07,333
334,25,1,1,1,1,3,0,2012-10-17,2013-03-17,334
335,19,1,1,3,3,3,102,2013-03-10,2013-10-07,335
336,13,0,1,3,3,2,117,2013-05-09,2013-10-07,336
337,13,1,1,5,5,6,166,2013-04-08,2013-10-06,337
338,20,0,4,4,5,6,183,2009-11-26,2013-10-07,338
339,21,0,2,5,5,5,248,2009-11-26,2013-10-07,339
340,20,0,2,2,2,4,399,2010-09-22,2013-10-07,340
341,23,0,4,6,6,1,310,2013-03-10,2013-10-07,341
342,25,1,2,4,4,6,162,2013-03-10,2013-10-07,342
343,13,0,4,4,4,6,107,2013-02-07,2013-10-06,343
344,27,1,4,5,5,6,400,2013-04-09,2013-10-07,344
345,41,0,4,5,5,6,39,2013-04-08,2013-10-06,345
346,19,0,1,1,1,2,444,2010-04-25,2013-10-07,346
347,12,0,1,6,6,4,218,2013-03-09,2013-10-06,347
348,20,0,1,6,6,3,425,2012-10-11,2013-10-07,348
349,37,0,1,6,1,3,117,2013-05-09,2013-10-07,349
350,22,1,1,3,3,2,276,2011-03-20,2013-10-06,350
351,22,0,2,3,3,2,416,2010-09-22,2013-10-07,351
352,6,1,1,4,4,6,405,2013-03-10,2013-10-07,352
353,25,0,3,5,5,6,106,2013-03-08,2013-10-05,353
354,16,0,2,1,1,2,185,2013-03-10,2013-10-07,354
355,15,1,1,6,6,4,205,2010-06-24,2013-10-07,355
356,21,0,2,2,2,1,277,2012-07-13,2013-10-07,356
357,15,0,1,3,3,3,270,2013-03-08,2013-10-05,357
358,36,1,1,5,5,5,92,2013-04-09,2013-10-07,358
359,19,0,2,1,1,3,464,2010-11-21,2013-10-07,359
360,14,1,1,2,2,3,85,2013-04-06,2013-10-04,360
361,18,1,2,3,3,3,332,2012-09-11,2013-10-07,361
362,23,1,1,2,3,3,257,2013-03-10,2013-10-07,362
363,21,1,2,2,2,5,247,2012-11-09,2013-10-06,363
364,18,0,1,4,4,3,30,2012-12-07,2013-10-04,364
365,28,0,1,1,2,3,142,2013-03-09,2013-10-06,365
366,19,1,1,4,5,5,272,2012-03-15,2013-10-07,366
367,21,1,1,2,3,2,167,2013-03-10,2013-10-07,367
368,19,1,1,2,2,1,161,2012-09-10,2013-10-06,368
369,46,1,4,6,6,4,132,2013-04-09,2013-10-07,369
370,15,0,2,4,4,4,454,2013-02-08,2013-10-07,370
371,29,1,1,1,2,1,269,2013-03-09,2013-10-06,371
372,26,1,1,6,6,3,48,2013-04-09,2013-10-07,372
373,14,1,1,5,5,5,232,2013-04-09,2013-10-07,373
374,23,1,4,5,5,4,54,2013-02-08,2013-10-07,374
375,28,0,2,4,4,1,189,2013-03-10,2013-10-07,375
376,19,1,1,1,1,4,241,2012-12-10,2013-10-07,376
377,17,1,2,6,1,6,433,2013-05-09,2013-10-07,377
378,30,0,4,3,3,3,237,2011-11-16,2013-10-07,378
379,24,1,1,2,2,6,315,2013-03-10,2013-10-07,379
380,16,0,1,2,2,1,242,2011-06-19,2013-10-07,380
381,15,0,4,2,2,4,33,2013-03-08,2013-10-05,381
382,36,1,1,3,3,3,223,2013-04-09,2013-10-07,382
383,23,1,2,4,5,5,155,2013-04-09,2013-10-07,383
384,22,0,2,3,3,1,183,2013-02-08,2013-10-07,384
385,20,0,4,4,5,3,333,2010-02-24,2013-10-07,385
386,15,1,1,5,5,5,313,2013-02-08,2013-10-07,386
387,20,1,1,4,4,2,98,2011-09-15,2013-10-05,387
388,16,0,4,2,3,2,82,2013-01-09,2013-10-07,388
389,39,0,4,6,6,4,60,2013-03-04,2013-10-01,389
390,29,0,2,1,2,1,194,2013-04-09,2013-10-07,390
391,12,0,1,2,2,3,96,2013-05-08,2013-10-06,391
392,22,0,4,4,4,6,138,2013-03-10,2013-10-07,392
393,8,0,1,4,5,4,80,2013-04-05,2013-10-03,393
394,8,1,1,1,1,2,193,2013-03-10,2013-10-07,394
395,14,1,4,4,4,4,115,2013-04-08,2013-10-06,395
396,23,1,2,1,1,1,43,2013-02-08,2013-10-07,396
397,22,1,2,2,3,1,197,2013-04-09,2013-10-07,397
398,15,0,1,6,6,6,163,2013-04-09,2013-10-07,398
399,17,1,1,1,1,3,54,2013-03-09,2013-10-06,399
400,13,0,4,2,2,2,151,2013-03-08,2013-10-05,400
401,25,0,2,4,5,6,383,2013-03-10,2013-10-07,401
402,23,1,4,1,2,2,94,2013-03-08,2013-10-05,402
403,17,0,4,6,1,5,225,2013-03-10,2013-10-07,403
404,27,1,1,2,2,3,298,2013-03-10,2013-10-07,404
405,10,1,4,1,1,1,226,2013-04-09,2013-10-07,405
406,15,1,1,4,4,5,161,2013-04-07,2013-10-05,406
407,21,0,4,3,3,1,179,2012-02-13,2013-10-06,407
408,24,0,4,6,6,6,153,2013-03-10,2013-10-07,408
409,28,1,4,4,5,5,215,2012-07-13,2013-10-07,409
410,45,1,4,2,2,1,238,2013-04-09,2013-10-07,410
411,13,1,1,6,6,4,216,2013-04-09,2013-10-07,411
412,17,1,2,1,1,1,55,2012-04-14,2013-10-07,412
413,36,1,4,5,5,5,140,2013-04-09,2013-10-07,413
414,30,1,2,2,2,2,65,2013-03-10,2013-10-07,414
415,42,0,1,4,4,6,122,2013-03-10,2013-10-07,415
416,16,1,1,2,2,5,148,2013-04-09,2013-10-07,416
417,18,0,1,5,5,5,340,2013-03-10,2013-10-07,417
418,18,0,1,3,3,2,245,2012-12-10,2013-10-07,418
419,23,0,1,3,3,3,74,2013-02-08,2013-10-07,419
420,20,0,1,3,4,1,418,2010-04-24,2013-10-06,420
421,14,1,2,2,3,6,67,2013-04-09,2013-10-07,421
422,24,0,2,2,2,3,256,2013-04-09,2013-10-07,422
423,19,1,2,6,1,1,256,2009-10-27,2013-10-07,423
424,21,1,2,5,5,2,352,2012-06-13,2013-10-07,424
425,23,0,4,4,4,3,42,2012-12-09,2013-10-06,425
426,11,0,4,2,2,2,204,2013-04-09,2013-10-07,426
427,21,1,1,2,2,5,22,2013-03-10,2013-10-07,427
428,20,1,2,6,6,6,173,2012-10-11,2013-10-07,428
429,17,1,1,5,6,4,212,2013-04-09,2013-10-07,429
430,23,1,4,6,6,6,267,2013-02-08,2013-10-07,430
431,18,1,1,2,2,1,117,2013-03-09,2013-10-06,431
432,20,1,2,5,6,5,126,2011-12-16,2013-10-07,432
433,39,1,4,6,6,3,159,2013-04-09,2013-10-07,433
434,25,1,3,2,2,2,140,2013-04-08,2013-10-06,434
435,18,1,1,6,6,2,841,2013-03-10,2013-10-07,435
